id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"34","die Alternative","Nomen","die","die Alternativen","alternative","ahl-ter-nah-tee-veh","Basiswortschatz & Floskeln","","Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.","On this route, the train is a good alternative to the plane."
"35","das Altersheim","Nomen","das","die Altersheime","nursing home / old people's home","ahl-ters-hyme","Wohnen, Haus & Haushalt","","Die Großeltern unserer Nachbarn sind im Altersheim.","Our neighbors' grandparents are in the nursing home."
"36","das Amt","Nomen","das","die Ämter","office / department / authority","ahmt","Staat, Gesellschaft & Dokumente","","Das Arbeitsamt befindet sich neben dem Busbahnhof.","The employment office is located next to the bus station."
"37","analysieren","Verb","","","to analyze","ah-nah-lue-zee-ren","Allgemeine Aktivitäten & Verben","","Die Politiker analysieren die Situation auf dem Arbeitsmarkt.","The politicians analyze the situation on the labor market."
"38","der Anbieter","Nomen","der","die Anbieter","provider / supplier","ahn-bee-ter","Einkaufen, Geld & Konsum","der Kunde","Ist das ein privater Telefonanbieter?","Is that a private telephone provider?"
"39","andererseits","Adverb","","","on the other hand","ahn-de-rer-zyts","Grammatik, Pronomen & Struktur","einerseits","Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.","Tarek wants to study, but on the other hand he also wants to earn money right away."
"40","anerkennen","Verb","","","to recognize / to acknowledge","ahn-er-ken-nen","Staat, Gesellschaft & Dokumente","ablehnen","Meine Ausbildung wird hier nicht anerkannt.","My training is not recognized here."
"41","anders","Adverb","","","differently / other way","ahn-ders","Grammatik, Pronomen & Struktur","","Anders geht das leider nicht.","Unfortunately, it does not work any differently."
"42","angeben","Verb","","","to state / to indicate","ahn-gay-ben","Kommunikation, Medien & Sprache","","Bitte geben Sie Ihre genaue Adresse an.","Please state your exact address."
"43","anfangs","Adverb","","","at first / in the beginning","ahn-fahngs","Grammatik, Pronomen & Struktur","","Anfangs ging alles gut.","At first everything went well."
"44","die Angabe","Nomen","die","die Angaben","information / statement","ahn-gah-beh","Staat, Gesellschaft & Dokumente","","Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.","We need the following information from you: name, address, date of birth."
"45","der Angehörige","Nomen","der","die Angehörigen","relative / family member (male)","ahn-ge-hoe-ri-geh","Person, Familie & Beziehungen","","Der Arzt darf nur Familienangehörigen Auskunft geben.","The doctor is only allowed to give information to family members."
"46","die Angehörige","Nomen","die","die Angehörigen","relative / family member (female)","ahn-ge-hoe-ri-geh","Person, Familie & Beziehungen","","Der Arzt darf nur Familienangehörigen Auskunft geben.","The doctor is only allowed to give information to family members."
"47","angenehm","Adjektiv","","","pleasant / agreeable","ahn-ge-naym","Eigenschaften & Adjektive","unangenehm","Wir wünschen Ihnen eine angenehme Reise.","We wish you a pleasant journey."
"48","der Angestellte","Nomen","der","die Angestellten","employee (male)","ahn-ge-shtel-teh","Arbeit, Beruf & Karriere","der Arbeitgeber","Björn ist Angestellter in einem Reisebüro.","Björn is an employee in a travel agency."
"49","die Angestellte","Nomen","die","die Angestellten","employee (female)","ahn-ge-shtel-teh","Arbeit, Beruf & Karriere","die Arbeitgeberin","Björn ist Angestellter in einem Reisebüro.","Björn is an employee in a travel agency."
"50","anhaben","Verb","","","to wear / to have on","ahn-hah-ben","Allgemeine Aktivitäten & Verben","","Gestern hatte Julia ein rotes Kleid an.","Yesterday Julia had a red dress on."
"51","die Anlage","Nomen","die","die Anlagen","attachment / facility / system","ahn-lah-geh","Kommunikation, Medien & Sprache","","Meine Musikanlage ist kaputt. In der Anlage der E-Mail finden Sie meinen Lebenslauf.","My music system is broken. In the attachment of the e-mail you will find my resume."
"52","die Anleitung","Nomen","die","die Anleitungen","instruction / manual","ahn-ly-toong","Freizeit, Hobbys & Unterhaltung","","In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.","The manual says that the oldest person starts this game."
"53","die Annonce","Nomen","die","die Annoncen","advertisement / ad","ah-non-seh","Wohnen, Haus & Haushalt","","Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.","I read all the advertisements, but the apartments are too expensive."
"54","der Anspruch","Nomen","der","die Ansprüche","claim / right","ahn-shprookh","Staat, Gesellschaft & Dokumente","","Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.","You live in the city center. Therefore you have no claim to travel money."
"55","anstrengend","Adjektiv","","","exhausting / strenuous","ahn-streng-ent","Arbeit, Beruf & Karriere","entspannend","Ich finde diese Arbeit sehr anstrengend.","I find this work very exhausting."
"56","der Antrag","Nomen","der","die Anträge","application / request","ahn-trahk","Staat, Gesellschaft & Dokumente","","Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?","Have you already filled out an application for the housing benefit?"
"57","der Anwalt","Nomen","der","die Anwälte","lawyer / attorney","ahn-vahlt","Staat, Gesellschaft & Dokumente","","Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.","I will not pay that. I would like to speak with my lawyer first."
"58","anwesend","Adjektiv","","","present","ahn-vay-zent","Basiswortschatz & Floskeln","abwesend","Bei dem Treffen waren alle Mitglieder anwesend.","All members were present at the meeting."
"59","die Anwältin","Nomen","die","die Anwältinnen","lawyer / attorney (female)","ahn-vel-tin","Staat, Gesellschaft & Dokumente","","Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.","I will not pay that. I would like to speak with my lawyer first."
"60","die Anzahl","Nomen","die","die Anzahlen","number / quantity","ahn-tsahl","Zahlen, Maße & Mengen","","Die Anzahl der Teilnehmer war groß.","The number of participants was large."
"61","die Aprikose","Nomen","die","die Aprikosen","apricot","ah-pree-ko-zeh","Essen, Kochen & Restaurant","","Schmecken dir die Aprikosen?","Do the apricots taste good to you?"
"62","der Arbeiter","Nomen","der","die Arbeiter","worker / laborer","ar-by-ter","Arbeit, Beruf & Karriere","der Angestellte","Maria ist seit zwei Jahren Arbeiterin bei Siemens.","Maria has been a worker at Siemens for two years."
"63","die Arbeitserlaubnis","Nomen","die","","work permit","ar-byts-er-lowp-nis","Arbeit, Beruf & Karriere","","Haben Sie eine Arbeitserlaubnis?","Do you have a work permit?"
"64","die Arbeitslosigkeit","Nomen","die","","unemployment","ar-byts-lo-zik-kyte","Arbeit, Beruf & Karriere","die Beschäftigung","Die Arbeitslosigkeit ist gesunken.","Unemployment has decreased."
"65","die Arbeitsstelle","Nomen","die","die Arbeitsstellen","job / position","ar-byts-shtel-leh","Arbeit, Beruf & Karriere","","Meine Frau hat eine neue Arbeitsstelle gefunden.","My wife has found a new job."
"66","der Architekt","Nomen","der","die Architekten","architect (male)","ar-khi-tekt","Wohnen, Haus & Haushalt","","Dieses Haus hat eine berühmte Architektin gebaut.","A famous architect built this house."
"67","die Architektin","Nomen","die","die Architektinnen","architect (female)","ar-khi-tek-tin","Wohnen, Haus & Haushalt","","Dieses Haus hat eine berühmte Architektin gebaut.","A famous architect built this house."
"68","die Art","Nomen","die","die Arten","kind / type / sort","art","Gefühle, Charakter & Meinung","","Im Zoo haben sie 34 verschiedene Arten von Vögeln. Seine Art gefällt mir nicht. Man kann auf unterschiedliche Art und Weise ein Fest feiern.","In the zoo they have 34 different kinds of birds. I do not like his manner. One can celebrate a festival in different ways."
"69","das Asyl","Nomen","das","","asylum","ah-zool","Staat, Gesellschaft & Dokumente","","Die Menschen sind auf der Flucht und bitten um Asyl.","The people are fleeing and asking for asylum."
"70","der Atem","Nomen","der","","breath","ah-tem","Gesundheit, Körper & Pflege","","Bitte den Atem anhalten.","Please hold your breath."
"71","der Aufenthalt","Nomen","der","die Aufenthalte","stay / layover","owf-ent-hahlt","Reise, Verkehr & Mobilität","die Abreise","Der Zug hat in München nur 20 Minuten Aufenthalt. Wir wünschen Ihnen einen angenehmen Aufenthalt.","The train only has a 20-minute layover in Munich. We wish you a pleasant stay."
"72","die Aufforderung","Nomen","die","die Aufforderungen","request / demand / prompt","owf-for-de-roong","Staat, Gesellschaft & Dokumente","","Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen.","You will receive a request to pay the amount by June."
"73","aufmerksam","Adjektiv","","","attentive / observant","owf-merk-zahm","Ausbildung, Schule & Studium","unaufmerksam","Die Schülerin hörte aufmerksam zu. Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.","The student listened attentively. I would like to draw your attention to the fact that we close in half an hour."
"74","die Aufnahme","Nomen","die","die Aufnahmen","recording / admission","owf-nah-meh","Basiswortschatz & Floskeln","","Bitte seid leise! - Ich starte die Aufnahme.","Please be quiet! - I am starting the recording."
"75","aufschreiben","Verb","","","to write down","owf-shry-ben","Ausbildung, Schule & Studium","","Ich habe mir deine Telefonnummer aufgeschrieben.","I wrote down your phone number."
"76","der Auftrag","Nomen","der","die Aufträge","order / task / assignment","owf-trahk","Ausbildung, Schule & Studium","","Im Moment hat die Firma besonders viele Aufträge.","At the moment the company has particularly many orders."
"77","der Auftritt","Nomen","der","die Auftritte","performance / appearance","owf-trit","Freizeit, Hobbys & Unterhaltung","","Nach dem Auftritt feiern die Musiker.","After the performance the musicians celebrate."
"78","aufwärts","Andere","","","upwards","owf-verts","Basiswortschatz & Floskeln","abwärts","Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts.","You must put on good shoes. The path always goes upwards."
"79","der Augenblick","Nomen","der","die Augenblicke","moment / instant","ow-gen-blik","Gesundheit, Körper & Pflege","","Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen. Einen Augenblick, bitte!","I was just about to park. At that moment a car came out of the driveway. One moment, please!"
"80","die Ausbildung","Nomen","die","die Ausbildungen","education / training / apprenticeship","ows-bil-doong","Ausbildung, Schule & Studium","","Ich habe meine Ausbildung abgeschlossen. Mit deiner guten Ausbildung findest du sicher eine Arbeit.","I have completed my training. With your good education, you will surely find a job."
"81","der Ausdruck","Nomen","der","die Ausdrücke","expression / phrase","ows-drook","Ausbildung, Schule & Studium","","Diesen Ausdruck habe ich noch nie gehört.","I have never heard this expression before."
"82","der Ausdruck","Nomen","der","die Ausdrucke","printout","ows-drook","Arbeit, Beruf & Karriere","","Machen Sie doch bitte einen Ausdruck von der E-Mail.","Please make a printout of the e-mail."
"83","ausdrucken","Verb","","","to print out","ows-drook-en","Arbeit, Beruf & Karriere","","Kann ich das auf deinem Drucker ausdrucken?","Can I print that out on your printer?"
"84","ausgebildet","Adjektiv","","","trained / educated","ows-ge-bil-det","Arbeit, Beruf & Karriere","","Für diesen Beruf müssen Sie gut ausgebildet sein.","You must be well trained for this profession."
"85","auseinander","Andere","","","apart / separated","ows-eye-nahn-der","Person, Familie & Beziehungen","zusammen","Wir wohnen nicht weit auseinander.","We do not live far apart."
"86","die Ausfahrt","Nomen","die","die Ausfahrten","exit (for vehicles) / drive","ows-fahrt","Reise, Verkehr & Mobilität","die Einfahrt","Hier ist eine Ausfahrt, da dürfen Sie nicht parken.","Here is an exit, you are not allowed to park there."
"87","die Ausgabe","Nomen","die","die Ausgaben","expense / edition / distribution","ows-gah-beh","Einkaufen, Geld & Konsum","die Einnahme","Wie hoch sind Ihre Ausgaben in einem Monat? Wo ist die Essensausgabe? In welchem Buch hast du das gelesen? In welcher Ausgabe?","How high are your expenses in a month? Where is the food distribution? In which book did you read that? In which edition?"
"88","ausgezeichnet","Adjektiv","","","excellent","ows-ge-tsyk-net","Eigenschaften & Adjektive","schlecht","Essen und Unterkunft waren ausgezeichnet.","Food and accommodation were excellent."
"89","die Aushilfe","Nomen","die","die Aushilfen","temporary help / temp","ows-hil-feh","Arbeit, Beruf & Karriere","","Wir suchen eine freundliche Aushilfe für unser Geschäft.","We are looking for friendly temporary help for our shop."
"90","die Ausnahme","Nomen","die","die Ausnahmen","exception","ows-nah-meh","Basiswortschatz & Floskeln","die Regel","Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.","Normally I have to work on the weekend. But today is an exception."
"91","ausrichten","Verb","","","to pass on (a message) / to tell","ows-rikh-ten","Kommunikation, Medien & Sprache","","Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?","My husband is not here. Should I pass on a message to him?"
"92","die Aussicht","Nomen","die","die Aussichten","view / prospect","ows-zikht","Basiswortschatz & Floskeln","","Von diesem Turm hat man eine tolle Aussicht. Mit mehreren Fremdsprachen hat man gute Aussichten im Beruf.","From this tower you have a great view. With several foreign languages you have good prospects in your career."
"93","die Aussprache","Nomen","die","","pronunciation","ows-shprah-kheh","Kommunikation, Medien & Sprache","","Ali hat eine gute Aussprache.","Ali has good pronunciation."
"94","die Ausstellung","Nomen","die","die Ausstellungen","exhibition","ows-shtel-loong","Freizeit, Hobbys & Unterhaltung","","Wir waren mit der Lehrerin in einer Ausstellung. Die Ausstellung eines neuen Passes dauert zwei Wochen.","We were at an exhibition with the teacher. The issuance of a new passport takes two weeks."
"95","die Auswahl","Nomen","die","die Auswahlen","selection / choice","ows-vahl","Einkaufen, Geld & Konsum","","Wir müssen eine Auswahl aus den Büchern treffen. Das Geschäft hat eine große Auswahl.","We have to make a selection from the books. The shop has a large selection."
"96","automatisch","Andere","","","automatic / automatically","ow-to-mah-tish","Eigenschaften & Adjektive","manuell","Die Tür schließt automatisch. Das Zeugnis bekommen Sie automatisch zugeschickt.","The door closes automatically. You will receive the certificate automatically."
"97","der Autor","Nomen","der","die Autoren","author (male)","ow-tor","Arbeit, Beruf & Karriere","","Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.","This author has already written two books this year."
"98","die Autorin","Nomen","die","die Autorinnen","author (female)","ow-to-rin","Arbeit, Beruf & Karriere","","Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.","This author has already written two books this year."
"99","außen","Andere","","","outside / on the outside","ow-sen","Basiswortschatz & Floskeln","innen","Wir haben das Schloss nur von außen gesehen. Außen ist das Haus nicht sehr schön.","We have only seen the castle from the outside. The house is not very nice on the outside."
"100","die Badewanne","Nomen","die","die Badewannen","bathtub","bah-deh-vahn-neh","Wohnen, Haus & Haushalt","die Dusche","Nach einem langen Arbeitstag setzte sie sich in die Badewanne.","After a long workday she sat down in the bathtub."
"101","das Ballett","Nomen","das","die Ballette","ballet","bah-let","Freizeit, Hobbys & Unterhaltung","","Meine Tochter möchte gern Ballett tanzen.","My daughter would like to dance ballet."
"102","der Bancomat/Bankomat","Nomen","der","die Bankomaten","ATM / cash machine","bahn-ko-maht","Einkaufen, Geld & Konsum","","Ich hole noch schnell Geld vom Bankomaten.","I am quickly getting money from the ATM."
"103","die Bankleitzahl","Nomen","die","die Bankleitzahlen","bank sort code / routing number","bahnk-lyt-tsahl","Einkaufen, Geld & Konsum","","Bitte geben Sie Ihre Bankleitzahl an.","Please state your bank sort code."
"104","die Bankomat-Karte","Nomen","die","die Bankomat-Karten","debit card / ATM card","bahn-ko-maht kar-teh","Einkaufen, Geld & Konsum","","Sie können auch mit Bankomat-Karte zahlen.","You can also pay with a debit card."
"105","die Bar","Nomen","die","die Bars","bar","bar","Essen, Kochen & Restaurant","","Setzen wir uns doch an die Bar! Ich treffe meine Freundin in der Hotelbar.","Let's sit down at the bar! I am meeting my friend in the hotel bar."
"106","bar","Andere","","","in cash","bar","Einkaufen, Geld & Konsum","mit Karte","Zahlen Sie bar?","Are you paying in cash?"
"107","das Bargeld","Nomen","das","","cash","bar-gelt","Einkaufen, Geld & Konsum","die Karte","Ich habe kein Bargeld mehr.","I have no more cash."
"108","der Bart","Nomen","der","die Bärte","beard","bart","Gesundheit, Körper & Pflege","","John trägt jetzt einen Bart.","John is wearing a beard now."
"109","die Batterie","Nomen","die","die Batterien","battery","bah-te-ree","Wohnen, Haus & Haushalt","","Bringst du bitte Batterien für die Kamera mit?","Can you please bring batteries for the camera?"
"110","der Bau","Nomen","der","die Bauten","building / construction","bow","Wohnen, Haus & Haushalt","","Ich wohne in einer Neubauwohnung. Unser Haus ist ein Altbau.","I live in a newly built apartment. Our house is an old building."
"111","der Bauer","Nomen","der","die Bauern","farmer","bow-er","Arbeit, Beruf & Karriere","","Wir kaufen unser Gemüse beim Bauern.","We buy our vegetables from the farmer."
"112","der Bauernhof","Nomen","der","die Bauernhöfe","farm","bow-ern-hofe","Natur, Umwelt & Tiere","","Meine Großeltern hatten einen Bauernhof.","My grandparents had a farm."
"113","die Beamtin","Nomen","die","die Beamtinnen","civil servant / official (female)","be-ahm-tin","Arbeit, Beruf & Karriere","","Meine Frau ist Beamtin bei der Polizei.","My wife is a civil servant at the police."
"114","der Bedarf","Nomen","der","","need / demand","be-darf","Einkaufen, Geld & Konsum","","An diesem Produkt besteht großer Bedarf.","There is a great demand for this product."
"115","die Bedeutung","Nomen","die","die Bedeutungen","meaning / significance","be-doy-toong","Kommunikation, Medien & Sprache","","Das Wort „Maus“ hat inzwischen zwei Bedeutungen.","The word ""mouse"" now has two meanings."
"116","die Bedienungsanleitung","Nomen","die","die Bedienungsanleitungen","user manual / operating instructions","be-dee-noongs-ahn-ly-toong","Wohnen, Haus & Haushalt","","Die Bedienungsanleitung verstehe ich nicht.","I do not understand the user manual."
"117","die Bedingung","Nomen","die","die Bedingungen","condition / term","be-ding-oong","Arbeit, Beruf & Karriere","","Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen. Wir haben in unserem Betrieb sehr gute Arbeitsbedingungen.","If you accept our conditions, we can make a contract. We have very good working conditions in our company."
"118","befreit","Andere","","","exempt / freed","be-fryt","Staat, Gesellschaft & Dokumente","","Studenten und Studentinnen sind von den Rundfunk-Gebühren befreit.","Students are exempt from the broadcasting fees."
"119","begegnen","Verb","","","to meet / to encounter","be-geyg-nen","Person, Familie & Beziehungen","","Sind wir uns nicht schon mal irgendwann begegnet?","Haven't we met sometime before?"
"120","der Beginn","Nomen","der","","beginning / start","be-gin","Ausbildung, Schule & Studium","das Ende","Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.","At the beginning of the lesson the teacher greets her students."
"121","die Begründung","Nomen","die","die Begründungen","reason / justification","be-gruen-doong","Wohnen, Haus & Haushalt","","Die Miete wurde ohne Begründung erhöht.","The rent was increased without a reason."
"122","behaupten","Verb","","","to claim / to assert","be-howp-ten","Kommunikation, Medien & Sprache","","Er behauptet, unsere Meinung sei nicht wichtig. Es ist schwer, sich gegen meinen Kollegen zu behaupten.","He claims our opinion is not important. It is difficult to assert oneself against my colleague."
"123","behindert","Adjektiv","","","disabled / handicapped","be-hin-dert","Gesundheit, Körper & Pflege","","Seit dem Unfall ist das Kind unserer Freunde behindert.","Since the accident, our friends' child has been disabled."
"124","die Behörde","Nomen","die","die Behörden","authority / public office","be-hoer-deh","Staat, Gesellschaft & Dokumente","","Sie erhalten ein Schreiben von der zuständigen Behörde.","You will receive a letter from the responsible authority."
"125","beide / das Bein","Nomen","das","die Beine","both / leg","by-deh / dahs byne","Gesundheit, Körper & Pflege","","Beide waren mit meinem Vorschlag einverstanden. Welche Bluse nehmen Sie, die rote oder die grüne? - Ich nehme beide. Andreas hat sich das Bein gebrochen.","Both agreed with my proposal. Which blouse are you taking, the red or the green one? - I will take both. Andreas broke his leg."
"126","beinahe","Andere","","","almost / nearly","by-nah-eh","Reise, Verkehr & Mobilität","","Ich habe heute beinahe den Bus verpasst.","I almost missed the bus today."
"127","der Beitrag","Nomen","der","die Beiträge","contribution / fee","by-trahk","Einkaufen, Geld & Konsum","","Die Krankenkasse hat die Beiträge erhöht. Der Mitgliedsbeitrag für den Sportverein beträgt 34 Euro pro Monat.","The health insurance company has increased the contributions. The membership fee for the sports club is 34 euros per month."
"128","bekannt geben","Verb","","","to announce / to make known","be-kahnt gay-ben","Ausbildung, Schule & Studium","","Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.","We will announce the exam location to you in good time."
"129","der Beleg","Nomen","der","die Belege","receipt / proof","be-layk","Einkaufen, Geld & Konsum","","Brauchen Sie einen Beleg?","Do you need a receipt?"
"130","bemerken","Verb","","","to notice / to remark","be-mer-ken","Wohnen, Haus & Haushalt","","Ich habe nicht bemerkt, dass das Fenster offen ist.","I did not notice that the window is open."
"131","das Benzin","Nomen","das","","gasoline / petrol","ben-tseen","Reise, Verkehr & Mobilität","","Das Benzin soll wieder teurer werden.","Gasoline is supposed to become more expensive again."
"132","bequem beraten","Verb","","","comfortable / to advise","be-kvaym / be-rah-ten","Einkaufen, Geld & Konsum","","Meine Kinder ziehen am liebsten bequeme Sachen an. Im Supermarkt einkaufen ist sehr bequem. Diesen Sessel finde ich sehr bequem. Unser Personal berät Sie gern, wenn Sie Fragen haben.","My children prefer wearing comfortable clothes. Shopping in the supermarket is very comfortable. I find this armchair very comfortable. Our staff will be happy to advise you if you have any questions."
"133","die Beratung","Nomen","die","die Beratungen","consultation / advice","be-rah-toong","Person, Familie & Beziehungen","","Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.","Consultations for families are available every Tuesday between 2 and 4 pm."
