id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"12","der Apparat","Nomen","der","die Apparate","device / apparatus / telephone","ah-pah-raht","Kommunikation, Medien & Sprache","","Bleiben Sie bitte am Apparat, ich verbinde Sie.","Please stay on the line, I'll connect you."
"13","arm","Adjektiv","","","poor","arm","Eigenschaften & Adjektive","reich","Früher war die Familie arm, heute geht es ihr besser.","The family used to be poor; today they are better off."
"14","der Artikel","Nomen","der","die Artikel","article","ar-tee-kel","Kommunikation, Medien & Sprache","","Diesen Artikel über das Klima solltest du unbedingt lesen.","You should definitely read this article about the climate."
"15","auf jeden Fall","Andere","","","definitely / in any case","owf yey-den fahl","Basiswortschatz & Floskeln","auf keinen Fall","Ich komme auf jeden Fall zu deiner Party.","I'll come to your party for sure."
"16","auf keinen Fall","Andere","","","definitely not / under no circumstances","owf ky-nen fahl","Basiswortschatz & Floskeln","auf jeden Fall","Dieses Passwort darfst du auf keinen Fall weitergeben.","You must under no circumstances share this password."
"17","aufmachen","Verb","","","to open","owf-mah-khen","Allgemeine Aktivitäten & Verben","zumachen","Es ist warm hier, kannst du das Fenster aufmachen?","It's warm in here, can you open the window?"
"18","aufpassen","Verb","","","to pay attention / to watch out","owf-pahs-sen","Allgemeine Aktivitäten & Verben","","Pass auf der Treppe auf, sie ist sehr glatt!","Watch out on the stairs, they are very slippery!"
"19","aufregend","Adjektiv","","","exciting / thrilling","owf-rey-gent","Eigenschaften & Adjektive","langweilig","Der erste Tag im neuen Job war ziemlich aufregend.","The first day at the new job was quite exciting."
"20","aufräumen","Verb","","","to clean up / to tidy up","owf-roy-men","Wohnen, Haus & Haushalt","","Bevor die Gäste kommen, muss ich noch die Küche aufräumen.","Before the guests arrive, I still have to tidy up the kitchen."
"21","ausgeben","Verb","","","to spend (money)","ows-gey-ben","Einkaufen, Geld & Konsum","sparen","Für das Konzert habe ich zu viel Geld ausgegeben.","I spent too much money on the concert."
"22","ausgehen","Verb","","","to go out","ows-gey-en","Allgemeine Aktivitäten & Verben","zu Hause bleiben","Am Wochenende gehen wir gern mit Freunden aus.","On the weekend we like to go out with friends."
"23","auspacken","Verb","","","to unpack","ows-pah-ken","Allgemeine Aktivitäten & Verben","einpacken","Die Kinder konnten es kaum erwarten, die Geschenke auszupacken.","The children could hardly wait to unpack the presents."
"24","aussprechen","Verb","","","to pronounce","ows-shprekh-en","Kommunikation, Medien & Sprache","","Diesen Namen kann ich nur schwer aussprechen.","I can only pronounce this name with difficulty."
"25","austragen","Verb","","","to deliver / to distribute","ows-trah-gen","Allgemeine Aktivitäten & Verben","","Als Schüler hat er morgens Zeitungen ausgetragen.","As a pupil he delivered newspapers in the mornings."
"26","außer","Andere","","","except / besides","ow-ser","Grammatik, Pronomen & Struktur","inklusive","Außer mir war niemand im Büro.","Apart from me, no one was in the office."
"27","außerdem","Andere","","","besides / in addition","ow-ser-dem","Grammatik, Pronomen & Struktur","","Das Hotel ist schön und außerdem nicht teuer.","The hotel is nice and, in addition, not expensive."
"28","außerhalb","Andere","","","outside of","ow-ser-halp","Grammatik, Pronomen & Struktur","innerhalb","Sie wohnen etwas außerhalb der Stadt.","They live a little outside the city."
"29","der Babysitter","Nomen","der","die Babysitter","babysitter","bay-bee-sit-ter","Person, Familie & Beziehungen","","Heute Abend passt ein Babysitter auf unsere Tochter auf.","Tonight a babysitter is looking after our daughter."
"30","backen","Verb","","","to bake","bah-ken","Essen, Kochen & Restaurant","","Zum Geburtstag backe ich immer einen Schokoladenkuchen.","For birthdays I always bake a chocolate cake."
"31","der Ball","Nomen","der","die Bälle","ball","bahl","Freizeit, Hobbys & Unterhaltung","","Die Kinder spielen im Park mit einem bunten Ball.","The children are playing with a colorful ball in the park."
"32","die Band","Nomen","die","die Bands","band","band","Freizeit, Hobbys & Unterhaltung","","Meine Lieblingsband gibt nächste Woche ein Konzert.","My favorite band is giving a concert next week."
"33","der Basketball","Nomen","der","die Basketbälle","basketball","bas-ket-bahl","Freizeit, Hobbys & Unterhaltung","","Nach der Schule spielen wir oft Basketball.","After school we often play basketball."
"34","basteln","Verb","","","to do handicrafts / to make by hand","bahs-teln","Freizeit, Hobbys & Unterhaltung","","Im Winter basteln die Kinder gern Sterne aus Papier.","In winter the children like to make stars out of paper."
"35","bauen","Verb","","","to build","bow-en","Wohnen, Haus & Haushalt","abreißen","Sie bauen sich ein kleines Haus am See.","They are building themselves a small house by the lake."
"36","die Baustelle","Nomen","die","die Baustellen","construction site","bow-shtel-leh","Wohnen, Haus & Haushalt","","Wegen der Baustelle ist die Straße zurzeit gesperrt.","Because of the construction site, the road is currently closed."
"37","beantworten","Verb","","","to answer","be-ahnt-vor-ten","Kommunikation, Medien & Sprache","fragen","Können Sie mir bitte ein paar Fragen beantworten?","Could you please answer a few questions for me?"
"38","beenden","Verb","","","to finish / to end","be-en-den","Allgemeine Aktivitäten & Verben","beginnen","Wir müssen das Projekt bis Freitag beenden.","We have to finish the project by Friday."
"39","begründen","Verb","","","to justify / to give reasons for","be-grün-den","Kommunikation, Medien & Sprache","","Kannst du deine Meinung kurz begründen?","Can you briefly give reasons for your opinion?"
"42","beliebt","Adjektiv","","","popular","be-leept","Eigenschaften & Adjektive","unbeliebt","Dieses Café ist bei Studenten sehr beliebt.","This café is very popular with students."
"43","bequem","Adjektiv","","","comfortable","be-kweym","Eigenschaften & Adjektive","unbequem","Der neue Sessel ist wirklich sehr bequem.","The new armchair is really very comfortable."
"44","beraten","Verb","","","to advise","be-rah-ten","Arbeit, Beruf & Karriere","","Die Verkäuferin hat uns sehr gut beraten.","The saleswoman advised us very well."
"45","der Berg","Nomen","der","die Berge","mountain","bairk","Natur, Umwelt & Tiere","das Tal","Im Sommer wandern wir gern in den Bergen.","In summer we like to hike in the mountains."
"46","berichten","Verb","","","to report","be-rikh-ten","Kommunikation, Medien & Sprache","","Die Zeitung berichtet heute über den Unfall.","The newspaper reports about the accident today."
"47","berühmt","Adjektiv","","","famous","be-ruemt","Eigenschaften & Adjektive","unbekannt","Dieser Maler ist auf der ganzen Welt berühmt.","This painter is famous all over the world."
"48","der Bescheid","Nomen","der","die Bescheide","decision / notification / answer","be-shyde","Kommunikation, Medien & Sprache","","Wir warten noch auf den Bescheid vom Amt.","We are still waiting for the notification from the office."
"49","Bescheid bekommen","Verb","","","to be informed / to get notification","be-shyde be-kom-men","Kommunikation, Medien & Sprache","","Sie bekommen nächste Woche Bescheid, ob es klappt.","You'll be informed next week whether it works out."
"50","Bescheid geben / sagen","Verb","","","to let someone know / to inform","be-shyde gey-ben","Kommunikation, Medien & Sprache","","Gib mir bitte Bescheid, wenn du angekommen bist.","Please let me know when you have arrived."
"51","beschreiben","Verb","","","to describe","be-shry-ben","Kommunikation, Medien & Sprache","","Können Sie den Mann genauer beschreiben?","Can you describe the man more precisely?"
"52","besonders","Andere","","","especially / particularly","be-zon-ders","Basiswortschatz & Floskeln","überhaupt nicht","Das Wetter war heute besonders schön.","The weather was especially nice today."
"53","bestehen","Verb","","","to pass (an exam) / to consist of","be-shtey-en","Ausbildung, Schule & Studium","durchfallen","Ich hoffe, dass ich die Prüfung bestehe.","I hope that I pass the exam."
"54","bestätigen","Verb","","","to confirm","be-shtay-ti-gen","Kommunikation, Medien & Sprache","absagen","Bitte bestätigen Sie den Termin per E-Mail.","Please confirm the appointment by email."
"55","der Besuch","Nomen","der","die Besuche","visit / visitors","be-zookh","Basiswortschatz & Floskeln","","Am Sonntag bekommen wir Besuch von meinen Eltern.","On Sunday we are getting a visit from my parents."
"56","die Bewerbung","Nomen","die","die Bewerbungen","application","be-vair-boong","Arbeit, Beruf & Karriere","","Ich habe meine Bewerbung gestern abgeschickt.","I sent off my application yesterday."
"57","bewölkt","Adjektiv","","","cloudy / overcast","be-vurlkt","Natur, Umwelt & Tiere","heiter / wolkenlos","Heute ist der Himmel den ganzen Tag bewölkt.","Today the sky is overcast all day."
"58","das Blatt","Nomen","das","die Blätter","leaf / sheet (of paper)","blaht","Natur, Umwelt & Tiere","","Im Herbst fallen die Blätter von den Bäumen.","In autumn the leaves fall from the trees."
"59","der Blog","Nomen","der/das","die Blogs","blog","blog","Freizeit, Hobbys & Unterhaltung","","Sie schreibt einen Blog über das Reisen.","She writes a blog about traveling."
"60","blond","Adjektiv","","","blond / blonde","blont","Eigenschaften & Adjektive","dunkel","Das kleine Mädchen hat lange blonde Haare.","The little girl has long blonde hair."
"61","die Bluse","Nomen","die","die Blusen","blouse","bloo-zeh","Einkaufen, Geld & Konsum","","Zu dem Rock passt die weiße Bluse gut.","The white blouse goes well with the skirt."
"62","blöd","Adjektiv","","","stupid / silly","bluud","Gefühle, Charakter & Meinung","toll","Es war eine blöde Idee, ohne Schirm loszugehen.","It was a stupid idea to set off without an umbrella."
"63","die Bohne","Nomen","die","die Bohnen","bean","bo-neh","Essen, Kochen & Restaurant","","Zum Mittagessen gibt es Reis mit Bohnen.","For lunch there is rice with beans."
"64","braten","Verb","","","to fry / to roast","brah-ten","Essen, Kochen & Restaurant","","Ich brate die Kartoffeln in etwas Öl.","I'm frying the potatoes in a little oil."
"65","die Brille","Nomen","die","die Brillen","glasses / spectacles","bril-leh","Gesundheit, Körper & Pflege","","Ohne meine Brille kann ich die Schrift nicht lesen.","Without my glasses I can't read the writing."
"66","die Brücke","Nomen","die","die Brücken","bridge","brue-keh","Reise, Verkehr & Mobilität","","Über den Fluss führt eine alte Brücke.","An old bridge leads across the river."
"67","buchen","Verb","","","to book","boo-khen","Reise, Verkehr & Mobilität","stornieren","Wir haben den Flug schon im Internet gebucht.","We have already booked the flight on the internet."
"68","bunt","Adjektiv","","","colorful","boont","Eigenschaften & Adjektive","einfarbig","Im Garten blühen viele bunte Blumen.","Many colorful flowers are blooming in the garden."
"69","das Büro","Nomen","das","die Büros","office","bue-ro","Arbeit, Beruf & Karriere","","Mein Büro liegt im dritten Stock.","My office is on the third floor."
"70","die Cafeteria","Nomen","die","die Cafeterias","cafeteria","kah-fay-tay-ree-ah","Essen, Kochen & Restaurant","","In der Pause treffen wir uns in der Cafeteria.","During the break we meet in the cafeteria."
"71","chatten","Verb","","","to chat (online)","chet-ten","Kommunikation, Medien & Sprache","","Abends chatte ich oft mit meinen Freunden.","In the evenings I often chat with my friends."
"72","die Chefin","Nomen","die","die Chefinnen","female boss / manager","shef-in","Arbeit, Beruf & Karriere","die Angestellte","Meine Chefin ist heute auf einer Dienstreise.","My boss is on a business trip today."
"73","der Club","Nomen","der","die Clubs","club","kloob","Freizeit, Hobbys & Unterhaltung","","Am Samstag gehen wir zusammen in einen Club.","On Saturday we're going to a club together."
"74","der Comic","Nomen","der/das","die Comics","comic / comic book","kom-ik","Freizeit, Hobbys & Unterhaltung","","Mein Sohn liest am liebsten Comics.","My son most likes to read comics."
"75","die Creme","Nomen","die","die Cremes","cream","krem","Gesundheit, Körper & Pflege","","Gegen den Sonnenbrand brauchst du eine gute Creme.","For the sunburn you need a good cream."
"76","da(r)- (z.B. darauf, darüber)","Andere","","","there- (e.g., on it, about it)","dah-roof / dah-rue-ber","Grammatik, Pronomen & Struktur","","Wir haben gestern lange darüber gesprochen.","We talked about it for a long time yesterday."
"77","dabei (sein)","Andere","","","to have with one / to be present","dah-by","Allgemeine Aktivitäten & Verben","","Beim nächsten Treffen bin ich gern dabei.","I'll gladly be there at the next meeting."
"78","dagegen sein","Verb","","","to be against it","dah-gey-gen zine","Gefühle, Charakter & Meinung","dafür sein","Ich möchte umziehen, aber meine Frau ist dagegen.","I'd like to move, but my wife is against it."
"79","damals","Andere","","","back then / at that time","dah-mahls","Uhrzeit, Datum & Kalender","heute","Damals gab es noch keine Handys.","Back then there were no mobile phones yet."
"80","dass","Andere","","","that (conjunction)","dahs","Grammatik, Pronomen & Struktur","","Ich freue mich, dass du gekommen bist.","I'm glad that you came."
"81","die Datei","Nomen","die","die Dateien","file (computer)","dah-tye","Kommunikation, Medien & Sprache","","Kannst du mir die Datei per E-Mail schicken?","Can you send me the file by email?"
"82","denken","Verb","","","to think","den-ken","Gefühle, Charakter & Meinung","","Ich denke oft an meinen Urlaub am Meer.","I often think about my vacation by the sea."
"83","der/die Bekannte","Nomen","der/die","die Bekannten","acquaintance","be-kahn-teh","Person, Familie & Beziehungen","der/die Unbekannte","Auf der Party habe ich einen alten Bekannten getroffen.","At the party I met an old acquaintance."
"84","der/die Jugendliche","Nomen","der/die","die Jugendlichen","youth / young person / adolescent","yoo-gent-likh-eh","Person, Familie & Beziehungen","der Erwachsene / die Erwachsene","Viele Jugendliche treffen sich am Wochenende im Park.","Many young people meet in the park on the weekend."
"85","deshalb","Andere","","","therefore / that is why","des-halp","Grammatik, Pronomen & Struktur","","Es hat geregnet, deshalb sind wir zu Hause geblieben.","It rained, that's why we stayed at home."
"86","deutlich","Adjektiv","","","clear / clearly","doyt-likh","Eigenschaften & Adjektive","undeutlich","Bitte sprechen Sie etwas lauter und deutlicher.","Please speak a bit louder and more clearly."
"87","dick","Adjektiv","","","fat / thick","dik","Eigenschaften & Adjektive","dünn","Im Winter trage ich einen dicken Pullover.","In winter I wear a thick sweater."
"88","das Ding","Nomen","das","die Dinge","thing","ding","Basiswortschatz & Floskeln","","Auf dem Tisch liegen lauter unnötige Dinge.","There are all sorts of unnecessary things lying on the table."
"89","direkt","Adjektiv","","","direct / directly","di-rekt","Eigenschaften & Adjektive","indirekt","Der Zug fährt direkt nach München, ohne Umsteigen.","The train goes directly to Munich, without changing."
"90","die Disko","Nomen","die","die Diskos","disco","dis-ko","Freizeit, Hobbys & Unterhaltung","","Gestern haben wir bis Mitternacht in der Disko getanzt.","Yesterday we danced at the disco until midnight."
"91","diskutieren","Verb","","","to discuss","dis-koo-tee-ren","Kommunikation, Medien & Sprache","","Im Kurs diskutieren wir über aktuelle Themen.","In the course we discuss current topics."
"92","doch","Andere","","","yes (to a negative question) / however / yet","dokh","Grammatik, Pronomen & Struktur","","Du kommst doch morgen mit, oder?","You are coming along tomorrow, aren't you?"
"93","dringend","Adjektiv","","","urgent / urgently","dring-ent","Eigenschaften & Adjektive","","Ich muss dich dringend sprechen.","I urgently need to talk to you."
"94","drinnen","Andere","","","inside / indoors","drin-nen","Basiswortschatz & Floskeln","draußen","Bei diesem Wetter bleiben wir lieber drinnen.","In this weather we'd rather stay inside."
"95","drüben","Andere","","","over there","drue-ben","Basiswortschatz & Floskeln","hier","Die Bushaltestelle ist da drüben auf der anderen Seite.","The bus stop is over there on the other side."
"96","dumm","Adjektiv","","","stupid / dumb","doom","Gefühle, Charakter & Meinung","klug","Das war eine dumme Frage von mir, entschuldige.","That was a dumb question from me, sorry."
"97","dunkel","Adjektiv","","","dark","doong-kel","Eigenschaften & Adjektive","hell","Im Winter wird es schon am Nachmittag dunkel.","In winter it gets dark already in the afternoon."
"99","dünn","Adjektiv","","","thin / skinny","duen","Eigenschaften & Adjektive","dick","Die Jacke ist zu dünn für den kalten Winter.","The jacket is too thin for the cold winter."
"100","das E-Book","Nomen","das","die E-Books","e-book","ee-book","Kommunikation, Medien & Sprache","das Buch","Auf der Reise lese ich meistens E-Books.","On the trip I mostly read e-books."
"101","echt","Adjektiv","","","real / genuine / really","ekht","Eigenschaften & Adjektive","falsch","Ist der Ring aus echtem Gold?","Is the ring made of real gold?"
"102","egal","Adjektiv","","","equal / it doesn't matter","eh-gahl","Eigenschaften & Adjektive","wichtig","Es ist mir egal, ob wir Pizza oder Pasta essen.","I don't mind whether we eat pizza or pasta."
"103","der Ehepartner","Nomen","der","die Ehepartner","spouse","ey-eh-part-ner","Person, Familie & Beziehungen","","Auf dem Formular müssen Sie den Namen Ihres Ehepartners angeben.","On the form you have to provide the name of your spouse."
"104","eigen-","Adjektiv","","","own","eye-gen","Eigenschaften & Adjektive","fremd","Mit dreißig hatte sie endlich ihre eigene Wohnung.","At thirty she finally had her own apartment."
"105","eigentlich","Andere","","","actually / in fact","eye-gent-likh","Basiswortschatz & Floskeln","","Eigentlich wollte ich heute früher nach Hause gehen.","Actually I wanted to go home earlier today."
"106","ein bisschen","Andere","","","a little / a little bit","ain bis-khen","Zahlen, Maße & Mengen","viel","Kannst du mir ein bisschen Zucker leihen?","Can you lend me a little sugar?"
"107","ein paar","Andere","","","a few / a couple of","ine pahr","Zahlen, Maße & Mengen","viele","Ich brauche nur noch ein paar Minuten.","I only need a few more minutes."
"108","einen Vorschlag haben / machen","Verb","der","die Vorschläge","to have / make a suggestion","i-nen for-shlahk hah-ben / mah-khen","Kommunikation, Medien & Sprache","","Darf ich einen Vorschlag machen?","May I make a suggestion?"
"109","einig-","Andere","","","some / a few","eye-ni-geh","Zahlen, Maße & Mengen","kein-","Einige Schüler waren heute krank.","Some pupils were sick today."
"110","das Einkaufszentrum","Nomen","das","die Einkaufszentren","shopping center / mall","ine-kowfs-tsen-troom","Einkaufen, Geld & Konsum","","Am Samstag treffen wir uns im Einkaufszentrum.","On Saturday we meet at the shopping center."
"111","einpacken","Verb","","","to pack / to wrap","ine-pah-ken","Allgemeine Aktivitäten & Verben","auspacken","Hast du genug warme Kleidung eingepackt?","Did you pack enough warm clothes?"
"112","einverstanden","Andere","","","agreed","ine-fer-shtahn-den","Basiswortschatz & Floskeln","dagegen","Bist du mit dem Termin einverstanden?","Are you okay with the appointment?"
"113","einzel-","Andere","","","single / individual","ine-tsel","Zahlen, Maße & Mengen","zusammen","Können wir auch einzelne Zimmer buchen?","Can we also book single rooms?"
"114","einziehen","Verb","","","to move in","ine-tsee-en","Wohnen, Haus & Haushalt","ausziehen","Nächsten Monat ziehen wir in die neue Wohnung ein.","Next month we move into the new apartment."
"115","das Eis","Nomen","das","","ice / ice cream","ice","Essen, Kochen & Restaurant","","Im Sommer essen die Kinder gern Eis.","In summer the children like to eat ice cream."
"116","endlich","Andere","","","finally / at last","ent-likh","Uhrzeit, Datum & Kalender","","Endlich hat das schlechte Wetter aufgehört.","Finally the bad weather has stopped."
"117","eng","Adjektiv","","","tight / narrow","eng","Eigenschaften & Adjektive","weit","Die Schuhe sind mir leider zu eng.","Unfortunately the shoes are too tight for me."
"118","die Erfahrung","Nomen","die","die Erfahrungen","experience","er-fah-roong","Arbeit, Beruf & Karriere","","Für diese Stelle braucht man viel Erfahrung.","For this position you need a lot of experience."
"119","erkältet sein","Verb","","","to have a cold","er-kel-tet zine","Gesundheit, Körper & Pflege","gesund sein","Ich bleibe heute zu Hause, weil ich erkältet bin.","I'm staying home today because I have a cold."
"120","die Erlaubnis","Nomen","die","die Erlaubnisse","permission / permit","er-lowp-nis","Staat, Gesellschaft & Dokumente","das Verbot","Ohne die Erlaubnis der Eltern darf das Kind nicht mitfahren.","Without the parents' permission, the child may not come along."
"121","erlaubt sein","Verb","","","to be allowed / to be permitted","er-lowpt zine","Allgemeine Aktivitäten & Verben","verboten sein","Hier ist das Parken leider nicht erlaubt.","Unfortunately, parking is not allowed here."
"122","erreichen","Verb","","","to reach","er-ry-khen","Allgemeine Aktivitäten & Verben","verpassen","Unter dieser Nummer können Sie mich den ganzen Tag erreichen.","You can reach me at this number all day."
"123","erst","Andere","","","only / first / not until","earst","Uhrzeit, Datum & Kalender","schon","Der Film fängt erst um neun Uhr an.","The movie doesn't start until nine o'clock."
"124","etwas","Andere","","","something / anything / some","et-vahs","Grammatik, Pronomen & Struktur","nichts","Möchten Sie noch etwas trinken?","Would you like something more to drink?"
"125","das Fach","Nomen","das","die Fächer","subject (school)","fahkh","Ausbildung, Schule & Studium","","Mathematik ist mein liebstes Fach.","Math is my favorite subject."
"126","der Fahrplan","Nomen","der","die Fahrpläne","timetable / schedule","far-plahn","Reise, Verkehr & Mobilität","","Auf dem Fahrplan steht, wann der nächste Bus kommt.","The timetable shows when the next bus comes."
"127","fallen","Verb","","","to fall","fahl-len","Allgemeine Aktivitäten & Verben","","Pass auf, dass das Glas nicht vom Tisch fällt!","Be careful that the glass doesn't fall off the table!"
"128","der Fan","Nomen","der","die Fans","fan / supporter","fan","Freizeit, Hobbys & Unterhaltung","","Mein Bruder ist ein großer Fan dieser Mannschaft.","My brother is a big fan of this team."
"129","fantastisch","Adjektiv","","","fantastic","fahn-tahs-tish","Eigenschaften & Adjektive","schrecklich","Das Essen in diesem Restaurant war fantastisch.","The food in this restaurant was fantastic."
"130","fast","Andere","","","almost / nearly","fahst","Basiswortschatz & Floskeln","völlig / ganz","Wir sind fast zu spät zum Zug gekommen.","We almost arrived too late for the train."
"131","faul","Adjektiv","","","lazy","fowl","Gefühle, Charakter & Meinung","fleißig","Am Sonntag bin ich gern einfach mal faul.","On Sundays I like to just be lazy for once."
"132","die Feier","Nomen","die","die Feiern","celebration / party","fy-er","Freizeit, Hobbys & Unterhaltung","","Zur Feier ihres Geburtstags hat sie viele Gäste eingeladen.","For the celebration of her birthday she invited many guests."
"134","das Fenster","Nomen","das","die Fenster","window","fen-ster","Wohnen, Haus & Haushalt","","Mach bitte das Fenster zu, es zieht.","Please close the window, there's a draft."
"135","die Ferien","Nomen","die","","vacations / holidays","fay-ree-en","Reise, Verkehr & Mobilität","die Schule / der Alltag","In den Ferien fahren wir ans Meer.","During the holidays we go to the sea."
"136","der Fernseher","Nomen","der","die Fernseher","television / TV set","fairn-zey-er","Freizeit, Hobbys & Unterhaltung","","Am Abend schalten wir oft den Fernseher ein.","In the evening we often turn on the television."
"137","das Fest","Nomen","das","die Feste","festival / celebration / party","fest","Freizeit, Hobbys & Unterhaltung","","Das Fest im Dorf dauert das ganze Wochenende.","The festival in the village lasts the whole weekend."
"138","das Festival","Nomen","das","die Festivals","festival","fes-ti-val","Freizeit, Hobbys & Unterhaltung","","Im Sommer besuchen wir jedes Jahr ein Musikfestival.","In summer we visit a music festival every year."
"139","fett","Adjektiv","","","fat / fatty / greasy","fet","Eigenschaften & Adjektive","mager","Dieses Fleisch ist mir ein bisschen zu fett.","This meat is a bit too fatty for me."
"140","fit sein","Verb","","","to be fit","fit zine","Gesundheit, Körper & Pflege","schlapp sein","Mit Sport bleibe ich fit und gesund.","With sports I stay fit and healthy."
"141","fleißig","Adjektiv","","","diligent / hard-working","fly-sikh","Eigenschaften & Adjektive","faul","Sie ist eine fleißige Studentin und lernt jeden Tag.","She is a diligent student and studies every day."
"142","der Flohmarkt","Nomen","der","die Flohmärkte","flea market","flo-markt","Einkaufen, Geld & Konsum","","Auf dem Flohmarkt habe ich eine alte Lampe gekauft.","At the flea market I bought an old lamp."
"143","der Flug","Nomen","der","die Flüge","flight","flook","Reise, Verkehr & Mobilität","","Unser Flug nach Rom hatte zwei Stunden Verspätung.","Our flight to Rome was two hours late."
"144","der Fluss","Nomen","der","die Flüsse","river","floos","Natur, Umwelt & Tiere","","Im Sommer schwimmen wir oft im Fluss.","In summer we often swim in the river."
"145","fotografieren","Verb","","","to photograph / to take pictures","fo-to-grah-fee-ren","Freizeit, Hobbys & Unterhaltung","","Im Urlaub fotografiere ich besonders gern alte Gebäude.","On vacation I especially like to photograph old buildings."
"146","freiwillig","Adjektiv","","","voluntary / voluntarily","fry-vil-likh","Eigenschaften & Adjektive","obligatorisch","Sie hilft freiwillig im Tierheim.","She volunteers at the animal shelter."
"147","die Freundin","Nomen","die","die Freundinnen","friend / girlfriend","froyn-din","Person, Familie & Beziehungen","","Meine Freundin und ich gehen heute ins Kino.","My friend and I are going to the cinema today."
"148","freundlich","Adjektiv","","","friendly","froynt-likh","Gefühle, Charakter & Meinung","unfreundlich","Die Frau an der Rezeption war sehr freundlich.","The woman at the reception was very friendly."
"149","frisch","Adjektiv","","","fresh","frish","Essen, Kochen & Restaurant","alt","Auf dem Markt kaufe ich frisches Obst und Gemüse.","At the market I buy fresh fruit and vegetables."
"150","froh","Adjektiv","","","glad / happy","fro","Gefühle, Charakter & Meinung","traurig","Ich bin froh, dass alles gut gegangen ist.","I'm glad that everything went well."
"151","früh","Adjektiv","","","early","frue","Uhrzeit, Datum & Kalender","spät","Morgen muss ich sehr früh aufstehen.","Tomorrow I have to get up very early."
"152","die Fundsachen","Nomen","die","die Fundsachen","lost property / lost and found","foont-zah-khen","Reise, Verkehr & Mobilität","","Deinen Schirm findest du vielleicht bei den Fundsachen.","You might find your umbrella in the lost and found."
"153","furchtbar","Adjektiv","","","terrible / awful","foorkht-bar","Eigenschaften & Adjektive","wunderbar","Gestern hatte ich furchtbare Kopfschmerzen.","Yesterday I had terrible headaches."
"154","der Führerschein","Nomen","der","die Führerscheine","driver's license / driving license","fue-rer-shine","Reise, Verkehr & Mobilität","","Mit achtzehn habe ich meinen Führerschein gemacht.","At eighteen I got my driver's license."
"156","die Gabel","Nomen","die","die Gabeln","fork","gah-bel","Essen, Kochen & Restaurant","das Messer","Zum Essen brauchen wir noch eine Gabel und ein Messer.","For the meal we still need a fork and a knife."
"157","ganz","Adjektiv","","","whole / entire / completely","gahnts","Zahlen, Maße & Mengen","kaputt / teilweise","Wir haben den ganzen Tag im Garten gearbeitet.","We worked in the garden the whole day."
"158","die Garage","Nomen","die","die Garagen","garage","gah-rah-zheh","Wohnen, Haus & Haushalt","","Das Auto steht über Nacht in der Garage.","The car stays in the garage overnight."
"159","Geburts- (z.B. Geburtsjahr, Geburtsort)","Andere","","","birth- (e.g. birth year, birthplace)","ge-boorts","Person, Familie & Beziehungen","","Bitte tragen Sie hier Ihren Geburtsort ein.","Please enter your place of birth here."
"160","geehrt-","Adjektiv","","","honored / dear (formal greeting)","ge-airt","Kommunikation, Medien & Sprache","","Sehr geehrte Frau Müller, vielen Dank für Ihre E-Mail.","Dear Ms. Müller, thank you very much for your email."
