id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"21","ausgeben","Verb","","","to spend (money)","ows-gey-ben","Einkaufen, Geld & Konsum","sparen","Agata gibt viel Geld für Bücher aus. Ich möchte nicht so viel Geld ausgeben.","Agata spends a lot of money on books. I do not want to spend so much money."
"22","ausgehen","Verb","","","to go out","ows-gey-en","Allgemeine Aktivitäten & Verben","zu Hause bleiben","Gehen wir am Freitag zusammen aus? Plötzlich ist das Licht ausgegangen.","Are we going out together on Friday? Suddenly the light went out."
"23","auspacken","Verb","","","to unpack","ows-pah-ken","Allgemeine Aktivitäten & Verben","einpacken","Packst du bitte den Koffer aus?","Can you please unpack the suitcase?"
"24","aussprechen","Verb","","","to pronounce","ows-shprekh-en","Kommunikation, Medien & Sprache","","Wie spricht man das Wort aus?","How do you pronounce the word?"
"25","austragen","Verb","","","to deliver / to distribute","ows-trah-gen","Allgemeine Aktivitäten & Verben","","Er trägt jeden Morgen die Zeitung aus.","He delivers the newspaper every morning."
"26","außer","Andere","","","except / besides","ow-ser","Grammatik, Pronomen & Struktur","inklusive","Außer Lisa möchte niemand den Film sehen. Wir haben täglich außer Samstag geöffnet.","Except for Lisa, nobody wants to see the film. We are open every day except Saturday."
"27","außerdem","Andere","","","besides / in addition","ow-ser-dem","Grammatik, Pronomen & Struktur","","Vier Brötchen, möchten Sie außerdem noch etwas?","Four bread rolls, would you like anything else in addition?"
"28","außerhalb","Andere","","","outside of","ow-ser-halp","Grammatik, Pronomen & Struktur","innerhalb","Die Wohnung ist nicht in der Stadt, sie liegt etwas außerhalb.","The apartment is not in the city, it lies somewhat outside."
"29","der Babysitter","Nomen","der","die Babysitter","babysitter","bay-bee-sit-ter","Person, Familie & Beziehungen","","Meine Tochter arbeitet als Babysitter bei einer Familie mit vier Kindern.","My daughter works as a babysitter for a family with four children."
"30","backen","Verb","","","to bake","bah-ken","Essen, Kochen & Restaurant","","Wenn du kommst, backe ich einen Kuchen.","When you come, I bake a cake."
"31","der Ball","Nomen","der","die Bälle","ball","bahl","Freizeit, Hobbys & Unterhaltung","","Meine Kinder spielen gern Ball.","My children like to play ball."
"32","die Band","Nomen","die","die Bands","band","band","Freizeit, Hobbys & Unterhaltung","","Was ist deine Lieblingsband? Anton spielt in einer Band.","What is your favorite band? Anton plays in a band."
"33","der Basketball","Nomen","der","die Basketbälle","basketball","bas-ket-bahl","Freizeit, Hobbys & Unterhaltung","","Yannick spielt lieber Basketball als Fußball.","Yannick prefers playing basketball over football."
"34","basteln","Verb","","","to do handicrafts / to make by hand","bahs-teln","Freizeit, Hobbys & Unterhaltung","","Die Kinder haben etwas gebastelt.","The children have crafted something."
"35","bauen","Verb","","","to build","bow-en","Wohnen, Haus & Haushalt","abreißen","Unsere Nachbarn bauen ein neues Haus.","Our neighbors are building a new house."
"36","die Baustelle","Nomen","die","die Baustellen","construction site","bow-shtel-leh","Wohnen, Haus & Haushalt","","Vor unserem Haus ist eine große Baustelle.","In front of our house is a large construction site."
"37","beantworten","Verb","","","to answer","be-ahnt-vor-ten","Kommunikation, Medien & Sprache","fragen","Können Sie meine Frage bitte beantworten? Hast du die Mail schon beantwortet?","Can you please answer my question? Have you already answered the mail?"
"38","beenden","Verb","","","to finish / to end","be-en-den","Allgemeine Aktivitäten & Verben","beginnen","Du musst deine Ausbildung auf jeden Fall beenden.","You must finish your training in any case."
"39","begründen","Verb","","","to justify / to give reasons for","be-grün-den","Kommunikation, Medien & Sprache","","Bitte begründen Sie Ihre Meinung.","Please justify your opinion."
"40","bei","Andere","","","at / near / with","by","Grammatik, Pronomen & Struktur","","Offenbach liegt bei Frankfurt. Ich wohne bei meinen Eltern.","Offenbach is near Frankfurt. I live with my parents."
"41","beide","Andere","","","both","by-deh","Zahlen, Maße & Mengen","kein-","Wir kommen beide. Welche Bluse möchten Sie, die rote oder die grüne? - Ich nehme beide.","We are both coming. Which blouse would you like, the red or the green one? - I will take both."
"42","beliebt","Adjektiv","","","popular","be-leept","Eigenschaften & Adjektive","unbeliebt","Fußball ist bei vielen Menschen beliebt.","Football is popular with many people."
"43","bequem","Adjektiv","","","comfortable","be-kweym","Eigenschaften & Adjektive","unbequem","Das Sofa ist sehr bequem. Meine Kinder ziehen am liebsten bequeme Schuhe an.","The sofa is very comfortable. My children prefer to put on comfortable shoes."
"44","beraten","Verb","","","to advise","be-rah-ten","Arbeit, Beruf & Karriere","","Unsere Sekretärin berät Sie gern, wenn Sie Fragen haben.","Our secretary will gladly advise you if you have questions."
"45","der Berg","Nomen","der","die Berge","mountain","bairk","Natur, Umwelt & Tiere","das Tal","Die Zugspitze ist der höchste Berg in Deutschland. Wir fahren am Wochenende in die Berge.","The Zugspitze is the highest mountain in Germany. We are traveling to the mountains on the weekend."
"46","berichten","Verb","","","to report","be-rikh-ten","Kommunikation, Medien & Sprache","","Alle Zeitungen berichten von dem Unfall.","All newspapers report on the accident."
"47","berühmt","Adjektiv","","","famous","be-ruemt","Eigenschaften & Adjektive","unbekannt","Thomas Müller ist ein berühmter Fußballspieler.","Thomas Müller is a famous football player."
"48","der Bescheid","Nomen","der","die Bescheide","decision / notification / answer","be-shyde","Kommunikation, Medien & Sprache","","Kann Lisa in Heidelberg studieren? - Sie weiß es noch nicht. Sie bekommt erst nächste Woche Bescheid.","Can Lisa study in Heidelberg? - She doesn't know yet. She will get notification only next week."
"49","Bescheid bekommen","Verb","","","to be informed / to get notification","be-shyde be-kom-men","Kommunikation, Medien & Sprache","","Sie bekommt erst nächste Woche Bescheid.","She will get notification only next week."
"50","Bescheid geben / sagen","Verb","","","to let someone know / to inform","be-shyde gey-ben","Kommunikation, Medien & Sprache","","Kannst du mir bis morgen Bescheid geben? Ich frage Herrn Maier und sage Ihnen dann Bescheid.","Can you let me know by tomorrow? I will ask Mr. Maier and then let you know."
"51","beschreiben","Verb","","","to describe","be-shry-ben","Kommunikation, Medien & Sprache","","Kannst du mir den Weg zum Bahnhof beschreiben?","Can you describe the way to the train station to me?"
"52","besonders","Andere","","","especially / particularly","be-zon-ders","Basiswortschatz & Floskeln","überhaupt nicht","Dieses Angebot ist besonders günstig. Hier ist die Pizza besonders gut. Wie geht's? - Nicht besonders.","This offer is particularly favorable. The pizza is especially good here. How are you? - Not particularly well."
"53","bestehen","Verb","","","to pass (an exam) / to consist of","be-shtey-en","Ausbildung, Schule & Studium","durchfallen","Ich habe die Prüfung bestanden! Die Prüfung besteht aus vier Teilen: Hören, Lesen, Schreiben und Sprechen.","I passed the exam! The exam consists of four parts: listening, reading, writing and speaking."
"54","bestätigen","Verb","","","to confirm","be-shtay-ti-gen","Kommunikation, Medien & Sprache","absagen","Ich kann bestätigen, dass er hier war.","I can confirm that he was here."
"55","der Besuch","Nomen","der","die Besuche","visit / visitors","be-zookh","Basiswortschatz & Floskeln","","Wir bekommen am Wochenende Besuch. Ich mache einen Besuch im Krankenhaus.","We are getting visitors on the weekend. I am making a visit to the hospital."
"56","die Bewerbung","Nomen","die","die Bewerbungen","application","be-vair-boong","Arbeit, Beruf & Karriere","","Kannst du mir bei meiner Bewerbung helfen?","Can you help me with my application?"
"57","bewölkt","Adjektiv","","","cloudy / overcast","be-vurlkt","Natur, Umwelt & Tiere","heiter / wolkenlos","Heute ist es bewölkt.","Today it is cloudy."
"58","das Blatt","Nomen","das","die Blätter","leaf / sheet (of paper)","blaht","Natur, Umwelt & Tiere","","Haben Sie ein Blatt Papier für mich? Die Bäume haben schon gelbe Blätter.","Do you have a sheet of paper for me? The trees already have yellow leaves."
"59","der Blog","Nomen","der/das","die Blogs","blog","blog","Freizeit, Hobbys & Unterhaltung","","Ich schreibe einen Blog über Mode.","I write a blog about fashion."
"60","blond","Adjektiv","","","blond / blonde","blont","Eigenschaften & Adjektive","dunkel","Lisa hat blonde Haare.","Lisa has blonde hair."
"61","die Bluse","Nomen","die","die Blusen","blouse","bloo-zeh","Einkaufen, Geld & Konsum","","Ich suche eine weiße Bluse.","I am looking for a white blouse."
"62","blöd","Adjektiv","","","stupid / silly","bluud","Gefühle, Charakter & Meinung","toll","Ich finde es blöd, dass du morgen gehen musst.","I think it is stupid that you have to go tomorrow."
"63","die Bohne","Nomen","die","die Bohnen","bean","bo-neh","Essen, Kochen & Restaurant","","Hans isst nicht gern Bohnen.","Hans does not like eating beans."
"64","braten","Verb","","","to fry / to roast","brah-ten","Essen, Kochen & Restaurant","","Braten Sie das Fleisch in etwas Öl! Der Fisch brät in der Pfanne.","Fry the meat in a little oil! The fish is frying in the pan."
"65","die Brille","Nomen","die","die Brillen","glasses / spectacles","bril-leh","Gesundheit, Körper & Pflege","","Wo ist meine Brille? Mit dieser Brille kann ich nicht mehr gut sehen.","Where are my glasses? With these glasses I cannot see well anymore."
"66","die Brücke","Nomen","die","die Brücken","bridge","brue-keh","Reise, Verkehr & Mobilität","","Fahren Sie über die nächste Brücke und dann nach links.","Drive over the next bridge and then to the left."
"67","buchen","Verb","","","to book","boo-khen","Reise, Verkehr & Mobilität","stornieren","Morgen buche ich unsere Urlaubsreise.","Tomorrow I will book our holiday trip."
"68","bunt","Adjektiv","","","colorful","boont","Eigenschaften & Adjektive","einfarbig","Anna trägt gern bunte Kleider. Meine Wohnung ist sehr bunt: Das Wohnzimmer ist rot, die Küche grün und das Bad blau.","Anna likes to wear colorful dresses. My apartment is very colorful: The living room is red, the kitchen green and the bathroom blue."
"69","das Büro","Nomen","das","die Büros","office","bue-ro","Arbeit, Beruf & Karriere","","Ich arbeite in einem Büro. Unser Büro ist bis Dienstag geschlossen.","I work in an office. Our office is closed until Tuesday."
"70","die Cafeteria","Nomen","die","die Cafeterias","cafeteria","kah-fay-tay-ree-ah","Essen, Kochen & Restaurant","","Ich gehe jetzt in die Cafeteria. Soll ich dir etwas mitbringen?","I am going to the cafeteria now. Should I bring you something?"
"71","chatten","Verb","","","to chat (online)","chet-ten","Kommunikation, Medien & Sprache","","Luis chattet gern mit seinen Freunden im Internet.","Luis likes to chat with his friends on the internet."
"72","die Chefin","Nomen","die","die Chefinnen","female boss / manager","shef-in","Arbeit, Beruf & Karriere","die Angestellte","Wir haben eine neue Chefin.","We have a new female boss."
"73","der Club","Nomen","der","die Clubs","club","kloob","Freizeit, Hobbys & Unterhaltung","","Gibt es hier einen Tennis-Club? Wo gibt es hier einen Club mit guter Musik?","Is there a tennis club here? Where is a club with good music here?"
"74","der Comic","Nomen","der/das","die Comics","comic / comic book","kom-ik","Freizeit, Hobbys & Unterhaltung","","Mein Sohn liest immer nur Comics.","My son always only reads comics."
"75","die Creme","Nomen","die","die Cremes","cream","krem","Gesundheit, Körper & Pflege","","Ich suche eine Creme für die Hände. Der Kuchen schmeckt super! Was ist in der Creme?","I am looking for a hand cream. The cake tastes great! What is in the cream?"
"76","da(r)- (z.B. darauf, darüber)","Andere","","","there- (e.g., on it, about it)","dah-roof / dah-rue-ber","Grammatik, Pronomen & Struktur","","Darauf fällt mir keine Antwort ein. Darüber spreche ich nicht gern.","I cannot think of an answer to that. I do not like to talk about that."
"77","dabei (sein)","Andere","","","to have with one / to be present","dah-by","Allgemeine Aktivitäten & Verben","","Hast du einen Stift dabei? Schön, dass du da bist. Ist deine Familie auch dabei?","Do you have a pen with you? Nice that you are here. Is your family also present?"
"78","dagegen sein","Verb","","","to be against it","dah-gey-gen zine","Gefühle, Charakter & Meinung","dafür sein","Ich bin dafür/dagegen.","I am for it/against it."
"79","damals","Andere","","","back then / at that time","dah-mahls","Uhrzeit, Datum & Kalender","heute","Als Student hatte ich viel Zeit und wollte reisen. Aber damals hatte ich kein Geld.","As a student I had a lot of time and wanted to travel. But back then I had no money."
"80","dass","Andere","","","that (conjunction)","dahs","Grammatik, Pronomen & Struktur","","Rico hat gesagt, dass er auch zur Party kommt. Ich finde es super, dass du mich besuchst.","Rico said that he is also coming to the party. I think it is great that you are visiting me."
"81","die Datei","Nomen","die","die Dateien","file (computer)","dah-tye","Kommunikation, Medien & Sprache","","Wo hast du die Datei gespeichert? Kannst du die Datei bitte öffnen?","Where did you save the file? Can you please open the file?"
"82","denken","Verb","","","to think","den-ken","Gefühle, Charakter & Meinung","","Ich denke, du hast recht. Ich denke oft an meine Freundin. Was denkst du? Sollen wir heute Abend ins Kino gehen?","I think you are right. I often think of my girlfriend. What do you think? Should we go to the cinema tonight?"
"83","der/die Bekannte","Nomen","der/die","die Bekannten","acquaintance","be-kahn-teh","Person, Familie & Beziehungen","der/die Unbekannte","Ein Bekannter von mir heißt Klaus.","An acquaintance of mine is named Klaus."
"84","der/die Jugendliche","Nomen","der/die","die Jugendlichen","youth / young person / adolescent","yoo-gent-likh-eh","Person, Familie & Beziehungen","der Erwachsene / die Erwachsene","Viele Jugendliche hören den ganzen Tag Musik. Der Eintritt für Kinder und Jugendliche bis 16 Jahre ist frei.","Many young people listen to music all day. Admission for children and adolescents up to 16 years is free."
"85","deshalb","Andere","","","therefore / that is why","des-halp","Grammatik, Pronomen & Struktur","","Ich bin krank. Deshalb komme ich heute nicht ins Büro.","I am sick. Therefore I am not coming to the office today."
"86","deutlich","Adjektiv","","","clear / clearly","doyt-likh","Eigenschaften & Adjektive","undeutlich","Sprechen Sie bitte deutlich! Können Sie das bitte deutlicher schreiben? Ich kann das nicht lesen.","Please speak clearly! Can you please write that more clearly? I cannot read it."
"87","dick","Adjektiv","","","fat / thick","dik","Eigenschaften & Adjektive","dünn","Ich bin zu dick. Ich muss weniger essen.","I am too fat. I must eat less."
"88","das Ding","Nomen","das","die Dinge","thing","ding","Basiswortschatz & Floskeln","","Gib mir bitte mal das Ding da drüben! Was macht man mit diesem Ding? - Damit kann man Flaschen öffnen.","Give me that thing over there, please! What do you do with this thing? - You can open bottles with it."
"89","direkt","Adjektiv","","","direct / directly","di-rekt","Eigenschaften & Adjektive","indirekt","Wir wohnen direkt über dem Café. Gibt es keinen direkten Zug nach Hamburg? - Nein, Sie müssen immer umsteigen. Ich möchte nicht direkt nach der Schule studieren. Ich möchte erst reisen. Wir liefern Ihnen das Sofa direkt ins Haus.","We live directly above the café. Is there no direct train to Hamburg? - No, you always have to change trains. I do not want to study directly after school. I want to travel first. We deliver the sofa directly to your house."
"90","die Disko","Nomen","die","die Diskos","disco","dis-ko","Freizeit, Hobbys & Unterhaltung","","Wir gehen heute Abend in die Disco/Disko.","We are going to the disco tonight."
"91","diskutieren","Verb","","","to discuss","dis-koo-tee-ren","Kommunikation, Medien & Sprache","","Ich möchte das mit meinen Kollegen diskutieren.","I would like to discuss that with my colleagues."
"92","doch","Andere","","","yes (to a negative question) / however / yet","dokh","Grammatik, Pronomen & Struktur","","Hast du keinen Hunger? - Doch, ich bin sehr hungrig. Kannst du morgen nicht kommen? - Doch. Geh doch mal wieder ins Kino! Das macht doch nichts!","Are you not hungry? - Yes, I am very hungry. Can you not come tomorrow? - Yes I can. Do go to the cinema again! That doesn't matter!"
"93","dringend","Adjektiv","","","urgent / urgently","dring-ent","Eigenschaften & Adjektive","","Bitte kommen Sie schnell. Es ist dringend.","Please come quickly. It is urgent."
"94","drinnen","Andere","","","inside / indoors","drin-nen","Basiswortschatz & Floskeln","draußen","Wollen Sie drinnen oder draußen sitzen? Hier drinnen ist es sehr warm.","Would you like to sit inside or outside? It is very warm in here."
"95","drüben","Andere","","","over there","drue-ben","Basiswortschatz & Floskeln","hier","Da drüben ist die Haltestelle.","The stop is over there."
"96","dumm","Adjektiv","","","stupid / dumb","doom","Gefühle, Charakter & Meinung","klug","Ich finde den Film dumm. Entschuldigung, das war dumm von mir. Das ist mir zu dumm.","I find the movie stupid. Excuse me, that was stupid of me. That is too stupid for me."
"97","dunkel","Adjektiv","","","dark","doong-kel","Eigenschaften & Adjektive","hell","Um sechs Uhr ist es schon dunkel. Meine Schwester hat dunkle Haare. Ich will eine dunkelblaue Bluse kaufen.","At six o'clock it is already dark. My sister has dark hair. I want to buy a dark blue blouse."
"98","durch","Andere","","","through","doorkh","Grammatik, Pronomen & Struktur","","Am besten gehen Sie durch die Tengstraße. Wir fahren mit dem Fahrrad durch den Wald.","It is best to go through Tengstraße. We are riding the bicycle through the forest."
"99","dünn","Adjektiv","","","thin / skinny","duen","Eigenschaften & Adjektive","dick","Das Buch ist sehr dünn. Es hat nur 40 Seiten. Mein Bruder ist 1,80 Meter groß und 62 Kilo schwer, er ist zu dünn.","The book is very thin. It has only 40 pages. My brother is 1.80 meters tall and weighs 62 kilos, he is too thin."
"100","das E-Book","Nomen","das","die E-Books","e-book","ee-book","Kommunikation, Medien & Sprache","das Buch","Liest du lieber E-Books oder Bücher aus Papier? Entschuldigung, kann man hier E-Books kaufen?","Do you prefer reading e-books or paper books? Excuse me, can one buy e-books here?"
"101","echt","Adjektiv","","","real / genuine / really","ekht","Eigenschaften & Adjektive","falsch","Ist das Bild ein echter Picasso? Der Film ist echt gut.","Is the picture a real Picasso? The film is really good."
"102","egal","Adjektiv","","","equal / it doesn't matter","eh-gahl","Eigenschaften & Adjektive","wichtig","Das ist mir egal. Willst du Tee oder Kaffee trinken? - Egal.","That does not matter to me. Do you want to drink tea or coffee? - It doesn't matter."
"103","der Ehepartner","Nomen","der","die Ehepartner","spouse","ey-eh-part-ner","Person, Familie & Beziehungen","","Das ist mein Ehemann/meine Ehefrau.","That is my husband/my wife."
"104","eigen-","Adjektiv","","","own","eye-gen","Eigenschaften & Adjektive","fremd","Nicht alle Kinder haben ein eigenes Zimmer.","Not all children have their own room."
"105","eigentlich","Andere","","","actually / in fact","eye-gent-likh","Basiswortschatz & Floskeln","","Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben. Kennst du eigentlich Susanne?","We actually wanted to visit friends, but then we stayed at home after all. Do you actually know Susanne?"
"106","ein bisschen","Andere","","","a little / a little bit","ain bis-khen","Zahlen, Maße & Mengen","viel","Können Sie bitte ein bisschen lauter sprechen? Ich spreche ein bisschen Französisch. Möchten Sie noch ein bisschen Salat?","Can you please speak a little louder? I speak a little French. Would you like a little more salad?"
"107","ein paar","Andere","","","a few / a couple of","ine pahr","Zahlen, Maße & Mengen","viele","Wir fahren ein paar Tage ans Meer. Hast du ein paar Minuten Zeit?","We are going to the sea for a few days. Do you have a few minutes time?"
"108","einen Vorschlag haben / machen","Verb","der","die Vorschläge","to have / make a suggestion","i-nen for-shlahk hah-ben / mah-khen","Kommunikation, Medien & Sprache","","Was machen wir am Wochenende? Hast du einen guten Vorschlag? - Wir können ins Kino gehen. Was schenken wir Christina zur Hochzeit? - Wir haben doch schon so viele Vorschläge gemacht.","What are we doing on the weekend? Do you have a good suggestion? - We can go to the cinema. What are we gifting Christina for the wedding? - We have already made so many suggestions."
"109","einig-","Andere","","","some / a few","eye-ni-geh","Zahlen, Maße & Mengen","kein-","In diesem Text sind einige Fehler. Das dauert noch einige Zeit, bis das Essen fertig ist.","There are some mistakes in this text. That will take some time until the food is ready."
"110","das Einkaufszentrum","Nomen","das","die Einkaufszentren","shopping center / mall","ine-kowfs-tsen-troom","Einkaufen, Geld & Konsum","","Kommst du morgen mit ins Einkaufszentrum?","Are you coming along to the shopping center tomorrow?"
"111","einpacken","Verb","","","to pack / to wrap","ine-pah-ken","Allgemeine Aktivitäten & Verben","auspacken","Pack bitte die Handtücher ein! Soll ich Ihnen das als Geschenk einpacken?","Please pack the towels! Should I wrap that as a gift for you?"
"112","einverstanden","Andere","","","agreed","ine-fer-shtahn-den","Basiswortschatz & Floskeln","dagegen","Als Termin schlage ich den 11. Juni vor. - Gut, (ich bin) einverstanden. Bist du einverstanden, wenn wir bald nach Hause gehen?","I suggest June 11th as the date. - Good, agreed. Do you agree if we go home soon?"
"113","einzel-","Andere","","","single / individual","ine-tsel","Zahlen, Maße & Mengen","zusammen","Nicht alle zusammen. Könnt ihr bitte einzeln sprechen? Florian ist ein Einzelkind. Er hat keine Geschwister. Ein Einzelzimmer ist noch frei.","Not all together. Can you please speak individually? Florian is an only child. He has no siblings. A single room is still free."
"114","einziehen","Verb","","","to move in","ine-tsee-en","Wohnen, Haus & Haushalt","ausziehen","Im Juni ziehen unsere neuen Nachbarn ein. Wann können wir in die Wohnung einziehen?","Our new neighbors are moving in in June. When can we move into the apartment?"
"115","das Eis","Nomen","das","","ice / ice cream","ice","Essen, Kochen & Restaurant","","Möchtest du auch ein Eis?","Would you also like an ice cream?"
"116","endlich","Andere","","","finally / at last","ent-likh","Uhrzeit, Datum & Kalender","","Wann kommst du endlich? Der Film fängt gleich an. Endlich bist du da!","When are you finally coming? The movie is starting soon. Finally you are here!"
"117","eng","Adjektiv","","","tight / narrow","eng","Eigenschaften & Adjektive","weit","Diese Hose ist zu eng. Gibt es sie auch eine Nummer größer?","These pants are too tight. Are they also available one size larger?"
"118","die Erfahrung","Nomen","die","die Erfahrungen","experience","er-fah-roong","Arbeit, Beruf & Karriere","","Ich habe zehn Jahre Erfahrung in diesem Beruf.","I have ten years of experience in this profession."
"119","erkältet sein","Verb","","","to have a cold","er-kel-tet zine","Gesundheit, Körper & Pflege","gesund sein","Lisa ist erkältet. Sie kann heute nicht zur Schule gehen.","Lisa has a cold. She cannot go to school today."
"120","die Erlaubnis","Nomen","die","","permission / permit","er-lowp-nis","Staat, Gesellschaft & Dokumente","das Verbot","Haben Sie eine Arbeitserlaubnis?","Do you have a work permit?"
"121","erlaubt sein","Verb","","","to be allowed / to be permitted","er-lowpt zine","Allgemeine Aktivitäten & Verben","verboten sein","Parken ist hier nicht erlaubt.","Parking is not allowed here."
"122","erreichen","Verb","","","to reach","er-ry-khen","Allgemeine Aktivitäten & Verben","verpassen","Wenn wir uns beeilen, erreichen wir noch den Zug um acht Uhr. Bis 18 Uhr können Sie mich im Büro erreichen.","If we hurry, we will still reach the train at eight o'clock. You can reach me in the office until 6 p.m."
"123","erst","Andere","","","only / first / not until","earst","Uhrzeit, Datum & Kalender","schon","Wir können erst morgen kommen. Dina ist keine 18, sie ist erst 16 Jahre alt.","We can only come tomorrow. Dina is not 18, she is only 16 years old."
"124","etwas","Andere","","","something / anything / some","et-vahs","Grammatik, Pronomen & Struktur","nichts","Ich muss dir etwas erzählen! Haben Sie etwas zum Schreiben? Ich habe leider nur Tee. Etwas anderes kann ich dir leider nicht anbieten.","I have to tell you something! Do you have something to write with? Unfortunately, I only have tea. Unfortunately, I cannot offer you anything else."
"125","das Fach","Nomen","das","die Fächer","subject (school)","fahkh","Ausbildung, Schule & Studium","","Welches Fach magst du in der Schule am liebsten?","Which subject do you like best in school?"
"126","der Fahrplan","Nomen","der","die Fahrpläne","timetable / schedule","far-plahn","Reise, Verkehr & Mobilität","","Ist das der neue Fahrplan?","Is that the new timetable?"
"127","fallen","Verb","","","to fall","fahl-len","Allgemeine Aktivitäten & Verben","","Pass auf, das Glas fällt gleich vom Tisch.","Watch out, the glass is about to fall off the table."
"128","der Fan","Nomen","der","die Fans","fan / supporter","fan","Freizeit, Hobbys & Unterhaltung","","Er ist ein großer Fußballfan. Bella ist ein Fan von Rammstein.","He is a big football fan. Bella is a fan of Rammstein."
"129","fantastisch","Adjektiv","","","fantastic","fahn-tahs-tish","Eigenschaften & Adjektive","schrecklich","Dein neues Kleid sieht fantastisch aus! Das Buch ist fantastisch. Du musst es unbedingt lesen!","Your new dress looks fantastic! The book is fantastic. You absolutely must read it!"
"130","fast","Andere","","","almost / nearly","fahst","Basiswortschatz & Floskeln","völlig / ganz","Der Film ist fast zu Ende. Ich habe fast alles verstanden.","The film is almost over. I have understood almost everything."
