die Architektin	architect (female)	Arbeit & Beruf	Nomen
arm	poor	Dienstleistungen & Behörden	Adjektiv
der Arm	arm	Gesundheit & Körper	Nomen
die Art	kind / type / sort	Natur & Umwelt	Nomen
der Artikel	article	Zeit, Maße & Basiswortschatz	Nomen
das Asyl	asylum	Dienstleistungen & Behörden	Nomen
der Atem	breath	Gesundheit & Körper	Nomen
auch	also / too	Ausbildung & Lernen	Andere
auf	on / upon / at	Zeit, Maße & Basiswortschatz	Andere
der Aufenthalt	stay / layover	Reise & Verkehr	Nomen
die Aufforderung	request / demand / prompt	Ausbildung & Lernen	Nomen
die Aufgabe	task / assignment / exercise	Arbeit & Beruf	Nomen
aufmerksam	attentive / observant	Ausbildung & Lernen	Adjektiv
die Aufnahme	recording / admission	Zeit, Maße & Basiswortschatz	Nomen
aufschreiben	to write down	Arbeit & Beruf	Verb
der Auftrag	order / task / assignment	Arbeit & Beruf	Nomen
der Auftritt	performance / appearance	Freizeit & Unterhaltung	Nomen
aufwärts	upwards	Zeit, Maße & Basiswortschatz	Andere
der Aufzug	elevator / lift	Wohnen & Haushalt	Nomen
das Auge	eye	Gesundheit & Körper	Nomen
der Augenblick	moment / instant	Zeit, Maße & Basiswortschatz	Nomen
aus	from / out of / off	Zeit, Maße & Basiswortschatz	Andere
die Ausbildung	education / training / apprenticeship	Arbeit & Beruf	Nomen
der Ausdruck	expression / phrase	Ausbildung & Lernen	Nomen
der Ausdruck	printout	Arbeit & Beruf	Nomen
ausdrucken / ausgebildet	to print out / trained (educated)	Arbeit & Beruf	Verb
auseinander	apart / separated	Person & Familie	Andere
die Ausfahrt	exit (for vehicles) / drive	Reise & Verkehr	Nomen
der Ausflug	excursion / trip	Reise & Verkehr	Nomen
die Ausgabe	expense / edition / distribution	Einkaufen & Konsum	Nomen
der Ausgang	exit	Wohnen & Haushalt	Nomen
ausgezeichnet	excellent	Zeit, Maße & Basiswortschatz	Adjektiv
die Aushilfe	temporary help / temp	Arbeit & Beruf	Nomen
die Auskunft	information	Ausbildung & Lernen	Nomen
das Ausland	abroad / foreign country	Reise & Verkehr	Nomen
der Ausländer	foreigner (male)	Dienstleistungen & Behörden	Nomen
ausmachen	to turn off / to agree upon / to matter	Ausbildung & Lernen	Verb
die Ausnahme	exception	Zeit, Maße & Basiswortschatz	Nomen
ausrichten	to pass on (a message) / to tell	Ausbildung & Lernen	Verb
aussehen	to look (like) / to appear	Person & Familie	Verb
die Aussicht	view / prospect	Arbeit & Beruf	Nomen
die Aussprache	pronunciation	Ausbildung & Lernen	Nomen
die Ausstellung	exhibition	Freizeit & Unterhaltung	Nomen
die Auswahl	selection / choice	Einkaufen & Konsum	Nomen
der Ausweis	ID card / identity card	Dienstleistungen & Behörden	Nomen
das Auto	car	Reise & Verkehr	Nomen
die Autobahn	highway / motorway	Reise & Verkehr	Nomen
der Automat	vending machine / ticket machine	Reise & Verkehr	Nomen
automatisch	automatic / automatically	Reise & Verkehr	Andere
der Autor	author (male)	Arbeit & Beruf	Nomen
die Autorin	author (female)	Arbeit & Beruf	Nomen
außen	outside / on the outside	Zeit, Maße & Basiswortschatz	Andere
außer	except (for) / besides	Zeit, Maße & Basiswortschatz	Andere
außerdem	besides / in addition / furthermore	Natur & Umwelt	Andere
außerhalb	outside (of)	Zeit, Maße & Basiswortschatz	Andere
das Bad	bath / bathroom	Gesundheit & Körper	Nomen
baden	to bathe / to swim	Gesundheit & Körper	Verb
die Badewanne	bathtub	Gesundheit & Körper	Nomen
die Bahn	train / railway	Reise & Verkehr	Nomen
der Bahnhof	train station / railway station	Reise & Verkehr	Nomen
der Bahnsteig	platform	Reise & Verkehr	Nomen
bald	soon	Zeit, Maße & Basiswortschatz	Andere
der Balkon	balcony	Wohnen & Haushalt	Nomen
der Ball	ball	Freizeit & Unterhaltung	Nomen
das Ballett	ballet	Freizeit & Unterhaltung	Nomen
die Banane	banana	Essen & Trinken	Nomen
der Bancomat/Bankomat	ATM / cash machine	Dienstleistungen & Behörden	Nomen
die Bank	bench	Natur & Umwelt	Nomen
die Bank	bank	Dienstleistungen & Behörden	Nomen
die Bankleitzahl	bank sort code / routing number	Dienstleistungen & Behörden	Nomen
die Bankomat-Karte	debit card / ATM card	Dienstleistungen & Behörden	Nomen
die Bar	bar	Essen & Trinken	Nomen
bar	in cash	Einkaufen & Konsum	Andere
das Bargeld	cash	Einkaufen & Konsum	Nomen
der Bart	beard	Gesundheit & Körper	Nomen
der Basketball	basketball	Freizeit & Unterhaltung	Nomen
die Batterie	battery	Zeit, Maße & Basiswortschatz	Nomen
der Bau	building / construction	Wohnen & Haushalt	Nomen
der Bauch	stomach / belly	Gesundheit & Körper	Nomen
der Bauer	farmer	Arbeit & Beruf	Nomen
der Bauernhof	farm	Natur & Umwelt	Nomen
der Baum	tree	Natur & Umwelt	Nomen
die Baustelle	construction site	Reise & Verkehr	Nomen
der Beamte	civil servant / official (male)	Arbeit & Beruf	Nomen
die Beamtin	civil servant / official (female)	Arbeit & Beruf	Nomen
der Bedarf	need / demand	Einkaufen & Konsum	Nomen
die Bedeutung	meaning / significance	Ausbildung & Lernen	Nomen
die Bedienungsanleitung	user manual / operating instructions	Zeit, Maße & Basiswortschatz	Nomen
die Bedingung	condition / term	Arbeit & Beruf	Nomen
befreit	exempt / freed	Dienstleistungen & Behörden	Andere
begegnen	to meet / to encounter	Person & Familie	Verb
der Beginn	beginning / start	Zeit, Maße & Basiswortschatz	Nomen
beginnen	to begin / to start	Zeit, Maße & Basiswortschatz	Verb
begründen	to justify / to give reasons for	Ausbildung & Lernen	Verb
die Begründung	reason / justification	Ausbildung & Lernen	Nomen
behaupten	to claim / to assert	Ausbildung & Lernen	Verb
behindert	disabled / handicapped	Gesundheit & Körper	Adjektiv
die Behörde	authority / public office	Dienstleistungen & Behörden	Nomen
bei	at / near / with	Zeit, Maße & Basiswortschatz	Andere
beide / das Bein	both / leg	Gesundheit & Körper	Nomen
beinahe	almost / nearly	Zeit, Maße & Basiswortschatz	Andere
das Beispiel	example	Ausbildung & Lernen	Nomen
der Beitrag	contribution / fee	Dienstleistungen & Behörden	Nomen
bekannt	known / well-known	Person & Familie	Adjektiv
bekannt geben	to announce / to make known	Ausbildung & Lernen	Verb
der Bekannte	acquaintance (male)	Person & Familie	Nomen
die Bekannte	acquaintance (female)	Person & Familie	Nomen
bekommen	to receive / to get	Einkaufen & Konsum	Verb
der Beleg	receipt / proof	Einkaufen & Konsum	Nomen
bemerken	to notice / to remark	Person & Familie	Verb
das Benzin	gasoline / petrol	Reise & Verkehr	Nomen
bequem beraten	comfortable / to advise	Arbeit & Beruf	Verb
die Beratung	consultation / advice	Arbeit & Beruf	Nomen
der Bereich	area / sector / region	Arbeit & Beruf	Nomen
bereit	ready / prepared	Zeit, Maße & Basiswortschatz	Adjektiv
bereits	already	Zeit, Maße & Basiswortschatz	Andere
der Berg	mountain	Natur & Umwelt	Nomen
der Bericht	report	Ausbildung & Lernen	Nomen
berichten	to report	Ausbildung & Lernen	Verb
der Beruf	profession / occupation / job	Arbeit & Beruf	Nomen
beruflich	professional / professionally	Arbeit & Beruf	Adjektiv
beruhigen	to calm / to reassure	Ausbildung & Lernen	Verb
der Bescheid	decision / notification / answer	Ausbildung & Lernen	Nomen
Bescheid sagen	to let someone know / to inform	Ausbildung & Lernen	Verb
beschließen	to decide / to resolve	Zeit, Maße & Basiswortschatz	Verb
beschreiben	to describe	Ausbildung & Lernen	Verb
die Beschreibung	description	Ausbildung & Lernen	Nomen
beschädigen	to damage	Zeit, Maße & Basiswortschatz	Verb
die Beschäftigung	occupation / activity / employment	Arbeit & Beruf	Nomen
besorgen	to get / to procure / to obtain	Einkaufen & Konsum	Verb
die Besprechung	meeting / discussion	Arbeit & Beruf	Nomen
die Besserung	recovery / improvement	Gesundheit & Körper	Nomen
bestrafen	to punish	Dienstleistungen & Behörden	Verb
die Bestätigung	confirmation	Ausbildung & Lernen	Nomen
der Besuch	visit / visitors	Freizeit & Unterhaltung	Nomen
der Betrag	amount / sum	Dienstleistungen & Behörden	Nomen
der Betreuer	supervisor / caregiver (male)	Arbeit & Beruf	Nomen
die Betreuung	care / supervision	Dienstleistungen & Behörden	Nomen
der Betrieb	company / business / operation	Arbeit & Beruf	Nomen
der Betriebsrat	works council / employee representative (male)	Arbeit & Beruf	Nomen
die Betriebsrätin	works council / employee representative (female)	Arbeit & Beruf	Nomen
betrunken	drunk	Gesundheit & Körper	Adjektiv
das Bett	bed	Wohnen & Haushalt	Nomen
bevor / bewegen	before / to move	Gesundheit & Körper	Verb
die Bevölkerung	population	Dienstleistungen & Behörden	Nomen
die Bewegung	movement / exercise	Gesundheit & Körper	Nomen
der Beweis	proof / evidence	Dienstleistungen & Behörden	Nomen
die Bewerbung	application	Arbeit & Beruf	Nomen
der Bewohner	resident / inhabitant	Wohnen & Haushalt	Nomen
bewölkt	cloudy / overcast	Natur & Umwelt	Adjektiv
die Beziehung	relationship / connection	Person & Familie	Nomen
die Bibliothek	library	Ausbildung & Lernen	Nomen
das Bier	beer	Essen & Trinken	Nomen
das Bild	picture / image	Wohnen & Haushalt	Nomen
der Bildschirm	screen / monitor	Zeit, Maße & Basiswortschatz	Nomen
das Billett	ticket	Reise & Verkehr	Nomen
billig	cheap / inexpensive	Einkaufen & Konsum	Adjektiv
bio(logisch)	organic	Natur & Umwelt	Adjektiv
die Biologie	biology	Ausbildung & Lernen	Nomen
die Birne	pear	Essen & Trinken	Nomen
bis	until / to / up to	Zeit, Maße & Basiswortschatz	Andere
bisher	until now / so far	Zeit, Maße & Basiswortschatz	Andere
die Bitte	request	Ausbildung & Lernen	Nomen
bitte	please / you're welcome	Ausbildung & Lernen	Andere
bitten	to ask / to request	Ausbildung & Lernen	Verb
bitter	bitter	Essen & Trinken	Adjektiv
blass	pale	Gesundheit & Körper	Adjektiv
das Blatt	leaf / sheet (of paper)	Arbeit & Beruf	Nomen
der Bleistift	pencil	Arbeit & Beruf	Nomen
der Blick	view / look / glance	Reise & Verkehr	Nomen
blind blitzen	blind / to flash (lightning)	Gesundheit & Körper	Verb
der Blitz	lightning / flash	Natur & Umwelt	Nomen
blond	blonde	Gesundheit & Körper	Adjektiv
bloß blühen	merely (only) / to bloom	Ausbildung & Lernen	Verb
die Blume	flower	Natur & Umwelt	Nomen
die Bluse	blouse	Einkaufen & Konsum	Nomen
das Blut	blood	Gesundheit & Körper	Nomen
der Brief	letter	Ausbildung & Lernen	Nomen
der Briefkasten	mailbox / letterbox	Ausbildung & Lernen	Nomen
der Briefträger	postman / mail carrier	Arbeit & Beruf	Nomen
der Briefumschlag	envelope	Ausbildung & Lernen	Nomen
der Buchstabe	letter (of the alphabet)	Ausbildung & Lernen	Nomen
buchstabieren	to spell	Ausbildung & Lernen	Verb
das Buffet	buffet	Essen & Trinken	Nomen
bunt	colorful	Zeit, Maße & Basiswortschatz	Adjektiv
die Burg	castle / fortress	Reise & Verkehr	Nomen
der Bus	bus	Reise & Verkehr	Nomen
die Butter	butter	Essen & Trinken	Nomen
die Bäckerei	bakery	Essen & Trinken	Nomen
die Büchse	can / tin	Essen & Trinken	Nomen
die Bühne	stage	Freizeit & Unterhaltung	Nomen
der Bürger	citizen (male)	Dienstleistungen & Behörden	Nomen
das Büro	office	Arbeit & Beruf	Nomen
die Bürste	brush	Gesundheit & Körper	Nomen
die Cafeteria	cafeteria	Essen & Trinken	Nomen
das Café	café / coffee shop	Essen & Trinken	Nomen
die Chance	chance / opportunity	Arbeit & Beruf	Nomen
der Chef	boss / manager (male)	Arbeit & Beruf	Nomen
die Chefin	boss / manager (female)	Arbeit & Beruf	Nomen
der Coiffeur	hairdresser (Swiss German)	Arbeit & Beruf	Nomen
die Coiffeuse	hairdresser (female) (Swiss German)	Arbeit & Beruf	Nomen
die Couch	couch / sofa	Wohnen & Haushalt	Nomen
der Cousin	cousin (male)	Person & Familie	Nomen
die Cousine	cousin (female)	Person & Familie	Nomen
das Couvert	envelope	Ausbildung & Lernen	Nomen
die Creme	cream / lotion	Essen & Trinken	Nomen
da	there / because / since	Zeit, Maße & Basiswortschatz	Andere
dabei	with it / there / present	Zeit, Maße & Basiswortschatz	Andere
das Dach	roof	Wohnen & Haushalt	Nomen
dafür	for it / in favor of it	Person & Familie	Andere
dagegen	against it / on the other hand	Person & Familie	Andere
daher	therefore / for that reason	Zeit, Maße & Basiswortschatz	Andere
damals	back then / at that time	Zeit, Maße & Basiswortschatz	Andere
die Dame	lady	Dienstleistungen & Behörden	Nomen
damit	so that / with it	Zeit, Maße & Basiswortschatz	Andere
danach	after that / afterwards	Zeit, Maße & Basiswortschatz	Andere
der Dank	thanks / gratitude	Ausbildung & Lernen	Nomen
dankbar	grateful / thankful	Person & Familie	Adjektiv
danke	thank you / thanks	Ausbildung & Lernen	Andere
danken	to thank	Ausbildung & Lernen	Verb
darstellen	to represent / to depict / to describe	Ausbildung & Lernen	Verb
die Darstellung	representation / depiction / description	Ausbildung & Lernen	Nomen
dass	that (conjunction)	Zeit, Maße & Basiswortschatz	Andere
die Datei	file (computer)	Dienstleistungen & Behörden	Nomen
die Daten	data / information	Dienstleistungen & Behörden	Nomen
das Datum	date	Dienstleistungen & Behörden	Nomen
die Dauer	duration / long term	Zeit, Maße & Basiswortschatz	Nomen
dauern	to last / to take (time)	Zeit, Maße & Basiswortschatz	Verb
dauernd	constant / constantly	Zeit, Maße & Basiswortschatz	Adjektiv
die Decke	ceiling / blanket	Wohnen & Haushalt	Nomen
das Denkmal	monument / memorial	Reise & Verkehr	Nomen
denn / derselbe	because / the same	Zeit, Maße & Basiswortschatz	Andere
deshalb	therefore / for that reason	Zeit, Maße & Basiswortschatz	Andere
das Dessert	dessert	Essen & Trinken	Nomen
deswegen	therefore / that's why	Zeit, Maße & Basiswortschatz	Andere
das Detail	detail	Zeit, Maße & Basiswortschatz	Nomen
deutlich	clear / distinct	Ausbildung & Lernen	Adjektiv
der Dialekt	dialect	Ausbildung & Lernen	Nomen
der Dialog	dialogue	Ausbildung & Lernen	Nomen
dicht	tight / dense / thick	Wohnen & Haushalt	Adjektiv
dick	fat / thick	Gesundheit & Körper	Adjektiv
der Dieb	thief	Dienstleistungen & Behörden	Nomen
der Dienst	service / duty	Arbeit & Beruf	Nomen
dies- / diesmal	this / this time	Zeit, Maße & Basiswortschatz	Andere
digital	digital	Zeit, Maße & Basiswortschatz	Adjektiv
das Ding	thing	Zeit, Maße & Basiswortschatz	Nomen
das Diplom	diploma / degree	Ausbildung & Lernen	Nomen
direkt	direct / directly	Zeit, Maße & Basiswortschatz	Adjektiv
der Direktor	director / headmaster (male)	Arbeit & Beruf	Nomen
die Direktorin	director / headmistress (female)	Arbeit & Beruf	Nomen
die Diskothek	discotheque / disco / club	Freizeit & Unterhaltung	Nomen
die Diskussion	discussion	Ausbildung & Lernen	Nomen
diskutieren	to discuss	Ausbildung & Lernen	Verb
die Distanz	distance	Reise & Verkehr	Nomen
die Diät	diet	Gesundheit & Körper	Nomen
doch	yes (to a negative question) / after all / but	Ausbildung & Lernen	Andere
der Doktor	doctor	Gesundheit & Körper	Nomen
die Doktorin	doctor (female)	Gesundheit & Körper	Nomen
das Dokument	document	Arbeit & Beruf	Nomen
der Donner	thunder	Natur & Umwelt	Nomen
das Dorf	village	Wohnen & Haushalt	Nomen
dort	there	Zeit, Maße & Basiswortschatz	Andere
dorthin	there / to that place	Zeit, Maße & Basiswortschatz	Andere
die Dose	can / tin	Essen & Trinken	Nomen
draußen	outside / outdoors	Natur & Umwelt	Andere
der Dreck	dirt / mud	Wohnen & Haushalt	Nomen
drehen	to turn	Zeit, Maße & Basiswortschatz	Verb
dringend	urgent / urgently	Zeit, Maße & Basiswortschatz	Adjektiv
die Droge	drug	Gesundheit & Körper	Nomen
die Drogerie	drugstore / chemist's	Einkaufen & Konsum	Nomen
der Druck	pressure / print	Zeit, Maße & Basiswortschatz	Nomen
drucken	to print	Zeit, Maße & Basiswortschatz	Verb
der Drucker	printer	Zeit, Maße & Basiswortschatz	Nomen
dumm	stupid / silly / dumb	Person & Familie	Adjektiv
dunkel	dark	Natur & Umwelt	Adjektiv
durch	through / by	Zeit, Maße & Basiswortschatz	Andere
durcheinander	confused / in a mess	Zeit, Maße & Basiswortschatz	Andere
die Durchsage	announcement	Reise & Verkehr	Nomen
der Durchschnitt	average	Zeit, Maße & Basiswortschatz	Nomen
der Durst	thirst	Essen & Trinken	Nomen
die Dusche	shower	Gesundheit & Körper	Nomen
duzen	to address with 'du' (informal you)	Ausbildung & Lernen	Verb
dünn	thin / skinny	Gesundheit & Körper	Adjektiv
dürfen	to be allowed to / may	Zeit, Maße & Basiswortschatz	Verb
dürfen	to be allowed to / may	Zeit, Maße & Basiswortschatz	Verb
eben	just / just now	Ausbildung & Lernen	Andere
ebenfalls	likewise / also	Ausbildung & Lernen	Andere
die e-card (A)	health insurance card (Austrian)	Gesundheit & Körper	Nomen
echt	real / genuine	Zeit, Maße & Basiswortschatz	Adjektiv
das Eck	corner (South German / Austrian)	Wohnen & Haushalt	Nomen
die ec-Karte / EC-Karte	debit card	Einkaufen & Konsum	Nomen
die Ecke	corner	Wohnen & Haushalt	Nomen
eckig	angular / square	Zeit, Maße & Basiswortschatz	Adjektiv
egal	doesn't matter / equal	Person & Familie	Adjektiv
die Ehe	marriage	Person & Familie	Nomen
die Ehefrau	wife	Person & Familie	Nomen
der Ehemann	husband	Person & Familie	Nomen
das Ehepaar	married couple	Person & Familie	Nomen
eher	earlier / rather	Zeit, Maße & Basiswortschatz	Andere
ehrlich	honest	Zeit, Maße & Basiswortschatz	Adjektiv
das Ei	egg	Essen & Trinken	Nomen
eigen- / eigentlich	own / actually	Zeit, Maße & Basiswortschatz	Adjektiv
die Eile	hurry / haste	Zeit, Maße & Basiswortschatz	Nomen
eilen	to hurry / to be urgent	Zeit, Maße & Basiswortschatz	Verb
eilig	in a hurry / urgent	Person & Familie	Adjektiv
ein- / die Einbahnstraße	a (one) / one-way street	Reise & Verkehr	Andere / Nomen
der Einbrecher	burglar / intruder (male)	Zeit, Maße & Basiswortschatz	Nomen
der Einbruch	burglary / break-in	Zeit, Maße & Basiswortschatz	Nomen
eindeutig	clear / unambiguous	Ausbildung & Lernen	Adjektiv
der Eindruck	impression	Person & Familie	Nomen
einerseits	on the one hand	Gesundheit & Körper	Andere
einfach	simple / easy	Ausbildung & Lernen	Adjektiv
die Einfahrt	entrance / driveway	Reise & Verkehr	Nomen
der Einfall	idea / sudden thought	Person & Familie	Nomen
der Einfluss	influence	Gesundheit & Körper	Nomen
die Einführung	introduction	Ausbildung & Lernen	Nomen
der Eingang	entrance	Wohnen & Haushalt	Nomen
einheitlich	uniform / consistent	Einkaufen & Konsum	Adjektiv
einig- / sich einigen	some / to agree	Ausbildung & Lernen	Verb
der Einkauf	purchase / shopping	Einkaufen & Konsum	Nomen
das Einkommen	income	Arbeit & Beruf	Nomen
die Einladung	invitation	Freizeit & Unterhaltung	Nomen
einmal / einnehmen	once / to take (medicine)	Gesundheit & Körper	Verb
die Einnahme	income / revenue / intake	Einkaufen & Konsum	Nomen
die Einrichtung	furnishing / facility / institution	Wohnen & Haushalt	Nomen
einsam / einschalten	lonely / to turn on	Person & Familie	Verb
einschließlich	including / inclusive of	Einkaufen & Konsum	Andere
das Einschreiben	registered letter / registered mail	Ausbildung & Lernen	Nomen
der Eintritt	admission / entry	Freizeit & Unterhaltung	Nomen
einverstanden	agreed / to agree	Ausbildung & Lernen	Verb
der Einwohner	inhabitant / resident	Dienstleistungen & Behörden	Nomen
die Einzahlung	payment / deposit	Dienstleistungen & Behörden	Nomen
die Einzelheit	detail	Ausbildung & Lernen	Nomen
einzeln	individually / single / separately	Zeit, Maße & Basiswortschatz	Andere
einziehen	to move in	Wohnen & Haushalt	Verb
das Eis	ice	Natur & Umwelt	Nomen
das Eis (CH: die Glace)	ice cream	Essen & Trinken	Nomen
die Eisenbahn	railway / train	Reise & Verkehr	Nomen
elegant	elegant	Einkaufen & Konsum	Adjektiv
elektrisch	electric / electrical	Zeit, Maße & Basiswortschatz	Adjektiv
Elektro- / elektronisch	electronic	Zeit, Maße & Basiswortschatz	Adjektiv
die Eltern	parents	Person & Familie	Nomen
der Empfang	reception	Ausbildung & Lernen	Nomen
die Empfehlung	recommendation	Arbeit & Beruf	Nomen
der Empfänger	recipient / receiver	Ausbildung & Lernen	Nomen
das Ende	end	Zeit, Maße & Basiswortschatz	Nomen
enden	to end / to finish	Zeit, Maße & Basiswortschatz	Verb
endgültig	final / definitive / finally	Zeit, Maße & Basiswortschatz	Adjektiv
endlich	finally / at last	Person & Familie	Andere
die Energie	energy	Gesundheit & Körper	Nomen
eng	tight / narrow / close	Einkaufen & Konsum	Adjektiv
der Enkel	grandson / grandchild	Person & Familie	Nomen
die Entfernung	distance	Reise & Verkehr	Nomen
enthalten	to contain / to include	Essen & Trinken	Verb
entlassen	to dismiss / to discharge / to fire	Arbeit & Beruf	Verb
die Entlassung	dismissal / discharge	Arbeit & Beruf	Nomen
die Entscheidung	decision	Ausbildung & Lernen	Nomen
entschuldigen	to excuse / to apologize	Ausbildung & Lernen	Verb
die Entschuldigung	excuse / apology	Ausbildung & Lernen	Nomen
entstehen	to originate / to arise / to be built	Zeit, Maße & Basiswortschatz	Verb
die Enttäuschung	disappointment	Person & Familie	Nomen
entweder ... oder	either ... or	Zeit, Maße & Basiswortschatz	Andere
die Entwicklung	development	Zeit, Maße & Basiswortschatz	Nomen
der Erdapfel	potato (Austrian German)	Essen & Trinken	Nomen
die Erde	earth / world / soil	Natur & Umwelt	Nomen
das Erdgeschoss	ground floor	Wohnen & Haushalt	Nomen
das Ereignis	event / occurrence	Dienstleistungen & Behörden	Nomen
die Erfahrung	experience	Arbeit & Beruf	Nomen
die Erfindung	invention	Zeit, Maße & Basiswortschatz	Nomen
der Erfolg	success	Arbeit & Beruf	Nomen
erfolgreich	successful	Arbeit & Beruf	Adjektiv
erforderlich	required / necessary	Zeit, Maße & Basiswortschatz	Adjektiv
das Ergebnis	result / outcome	Ausbildung & Lernen	Nomen
die Erholung	recovery / rest / relaxation	Gesundheit & Körper	Nomen
die Erhöhung	increase / raise	Arbeit & Beruf	Nomen
